,Run # 0 ASF,Run # 1 ASF,Run # 2 ASF,Run # 3 ASF,Run # 4 ASF,Run # 5 ASF,Run # 6 ASF,Run # 7 ASF,Run # 8 ASF,Run # 9 ASF,Avg ASF
0,624.8,609.4,594.7,616.0333333,615.9,604.8666667,627.7333333,611.4,600.6333333,594.6333333,610.01
1,664.5,649.1666667,641.7,673.7,671.2,651.5333333,671.8,652.1333333,641.1,629.9333333,654.6766667
2,706.2666667,686.8333333,683.6333333,707,719.7333333,691,725.1333333,680.3,680.9666667,658.8333333,693.97
3,740.8333333,716.2,703.9666667,734,740.1666667,731.2666667,750.7333333,717.4666667,718.7666667,681.5333333,723.4933333
4,766.4666667,725.3333333,726.6333333,753.8666667,757.8333333,759.1666667,787.8333333,762.1,743.1333333,710.6666667,749.3033333
5,797.3,754.9,748.3,770.5666667,782.2333333,788.8666667,816.4,791.2,765.0333333,736.9,775.17
6,818.9666667,796.0333333,770.8666667,784,815.0666667,797.9666667,848.7,810.1666667,785.5,764,799.1266667
7,837.1666667,816.8333333,787.3333333,793.9,837.5666667,812.6666667,872.2666667,829.7666667,812.0333333,790.4,818.9933333
8,846.7666667,843.9666667,812.1666667,803.7,850.9666667,830.6333333,892.6666667,862.1333333,823.8666667,807.8,837.4666667
9,855.4,864.9666667,829.9666667,807.9333333,872.8,848.6,905.9666667,873.3,833.0666667,827.6333333,851.9633333
10,865.9666667,885.5,845.3666667,815.8333333,885.7666667,862.1333333,922.4666667,897.0666667,838.6666667,840.7666667,865.9533333
11,879.7666667,912,855.7666667,823.9,900.2333333,870.7,936.3,910.5,850.6333333,855.7,879.55
12,888.0666667,931.6666667,862.3666667,833.5666667,912.3666667,877.6666667,948.1,922.8333333,861.8,871.8,891.0233333
13,893.2,943.4,867.2,839.7333333,930.8666667,889.1333333,955.4,929.7333333,875.0333333,878.2666667,900.1966667
14,900.0333333,954.3,879.5333333,849.3666667,937.2666667,900.1666667,964.4333333,935.6,885.8,890.6666667,909.7166667
15,902,961.1666667,886.3666667,856.4333333,955.5333333,908.8,973.6,942,895,904.5666667,918.5466667
16,912,969.3666667,900.3666667,863.0333333,965.1666667,917.2,978.5333333,948.1,901.8666667,918.1666667,927.38
17,919.8,975.2333333,913.7333333,871.9,980,923.9666667,981,952.2333333,916.0333333,925.8666667,935.9766667
18,927.7333333,986.3,921.5666667,879.8,989,933.7,981,954.1,924.5666667,938.5666667,943.6333333
19,938.8,987.5333333,931.6,884.2666667,993.8333333,941.3333333,981.2666667,956.5,930.3,944.7333333,949.0166667
20,947.6333333,988.0666667,945.2,889.2,996.3666667,948.5333333,981.5333333,956.7,934.8666667,949.5333333,953.7633333
21,956.2333333,988.3333333,958.3,895.0666667,996.9333333,956.4,981.5333333,957.7333333,939.9666667,954.9,958.54
22,962.6,988.8666667,972.4666667,897.5333333,1000.166667,966.9333333,981.8,960.4666667,946.6666667,960.3666667,963.7866667
23,969.9333333,989.6666667,980.4,905.8666667,1006,969.2666667,981.8,961.7,947.7333333,963.7333333,967.61
24,972.4333333,990.7333333,990.2333333,909.2333333,1010.266667,974.4333333,982.6,964.5333333,952.3,965.6,971.2366667
25,977.1,992.3333333,997.3333333,914.8,1016.3,981.7666667,983.1333333,964.6,956.0333333,965.6,974.9
26,981.7333333,993.4,998.0666667,919.1666667,1020,987.3333333,983.6666667,967.1666667,961.9666667,965.6,977.81
27,984.9,994.2,999.0666667,922.9,1021.066667,990.4333333,984.2,969.2666667,963,970.8333333,979.9866667
28,989.0333333,995,1000.933333,930.6333333,1022.133333,996.1666667,984.7333333,972.2,965.0333333,973.9,982.9766667
29,995.7,995,1003.666667,934.8,1023.466667,999.4333333,986.0666667,972.2,965.8333333,977.4,985.3566667
30,1003.166667,995,1006.333333,936.9666667,1024,1001.266667,987.1333333,973.9333333,966.3666667,982.7666667,987.6933333
31,1009.566667,995,1007.133333,943.2,1024,1001.266667,988.7333333,977.0333333,968.1666667,988.7666667,990.2866667
32,1016.933333,995,1007.8,950.3666667,1024,1001.266667,989,982.6666667,969.5666667,989.7666667,992.6366667
33,1017.466667,995,1007.8,953.2666667,1024,1001.266667,989,986.4666667,969.8666667,990.0333333,993.4166667
34,1018,995,1009,957.6666667,1024,1001.533333,989,988.6333333,971,990.5666667,994.44
35,1018,995,1011.8,959.4666667,1024,1001.533333,989,990.2666667,971,990.8333333,995.09
36,1018,995,1013,967.3,1024,1001.533333,989,994.1,972.9666667,991.3666667,996.6266667
37,1018,995,1013,976.1666667,1024,1002.066667,989,995.8333333,974.9333333,992.9,998.09
38,1018,995,1013,983.4666667,1024,1002.6,989,996.8333333,978.6,994.1666667,999.4666667
39,1018,995,1013,994.0666667,1024,1003.4,989,999.5,979.6333333,995.1666667,1001.076667
40,1018,995,1013,995.9,1024,1004.2,989,1000.866667,980.6,995.4333333,1001.6
41,1018,995,1013,1001.633333,1024,1005.266667,989,1001.333333,982.6,997.6333333,1002.746667
42,1018,995,1013,1002.3,1024,1006.866667,989,1003.466667,986.6,998.8333333,1003.706667
43,1018,995,1013,1005.7,1024,1007.933333,989,1005.033333,988.6,1000.233333,1004.65
44,1018,995,1013,1007.433333,1024,1009,989,1006.966667,992.6,1002.166667,1005.716667
45,1018,995,1013,1009.566667,1024,1009,989,1009.866667,997.8,1003.633333,1006.886667
46,1018,995,1013,1014.766667,1024,1009,989,1012.233333,1000.3,1005.5,1008.08
47,1018,995,1013,1016.3,1024,1009,989,1014.166667,1002.733333,1008.166667,1008.936667
48,1018,995,1013,1017.5,1024,1009,989,1020.8,1003.933333,1009.333333,1009.956667
49,1018,995,1013,1018,1024,1009,989,1023.733333,1004.666667,1009.466667,1010.386667
50,1018,995,1013,1018,1024,1009,989,1024,1007.133333,1009.466667,1010.66
51,1018,995,1013,1018,1024,1009,989,1024,1011.333333,1009.966667,1011.13
52,1018,995,1013,1018,1024,1009,989,1024,1012.733333,1010.2,1011.293333
53,1018,995,1013,1018,1024,1009,989,1024,1015.266667,1010.2,1011.546667
54,1018,995,1013,1018,1024,1009,989,1024,1017.466667,1010.7,1011.816667
55,1018,995,1013,1018,1024,1009,989,1024,1018,1011.166667,1011.916667
56,1018,995,1013,1018,1024,1009,989,1024,1018,1011.4,1011.94
57,1018,995,1013,1018,1024,1009,989,1024,1018,1011.4,1011.94
58,1018,995,1013,1018,1024,1009,989,1024,1018,1011.9,1011.99
59,1018,995,1013,1018,1024,1009,989,1024,1018,1011.9,1011.99
60,1018,995,1013,1018,1024,1009,989,1024,1018,1011.9,1011.99
61,1018,995,1013,1018,1024,1009,989,1024,1018,1012.133333,1012.013333
62,1018,995,1013,1018,1024,1009,989,1024,1018,1012.133333,1012.013333
63,1018,995,1013,1018,1024,1009,989,1024,1018,1012.666667,1012.066667
64,1018,995,1013,1018,1024,1009,989,1024,1018,1013.366667,1012.136667
65,1018,995,1013,1018,1024,1009,989,1024,1018,1014.066667,1012.206667
66,1018,995,1013,1018,1024,1009,989,1024,1018,1015.266667,1012.326667
67,1018,995,1013,1018,1024,1009,989,1024,1018,1016.466667,1012.446667
68,1018,995,1013,1018,1024,1009,989,1024,1018,1017.4,1012.54
69,1018,995,1013,1018,1024,1009,989,1024,1018,1018.2,1012.62
70,1018,995,1013,1018,1024,1009,989,1024,1018,1019,1012.7
71,1018,995,1013,1018,1024,1009,989,1024,1018,1019.266667,1012.726667
72,1018,995,1013,1018,1024,1009,989,1024,1018,1020.866667,1012.886667
73,1018,995,1013,1018,1024,1009,989,1024,1018,1021.133333,1012.913333
74,1018,995,1013,1018,1024,1009,989,1024,1018,1022.2,1013.02
75,1018,995,1013,1018,1024,1009,989,1024,1018,1023,1013.1
76,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
77,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
78,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
79,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
80,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
81,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
82,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
83,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
84,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
85,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
86,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
87,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
88,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
89,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
90,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
91,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
92,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
93,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
94,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
95,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
96,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
97,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
98,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
99,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
100,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
101,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
102,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
103,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
104,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
105,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
106,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
107,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
108,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
109,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
110,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
111,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
112,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
113,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
114,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
115,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
116,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
117,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
118,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
119,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
120,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
121,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
122,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
123,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
124,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
125,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
126,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
127,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
128,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
129,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
130,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
131,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
132,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
133,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
134,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
135,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
136,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
137,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
138,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
139,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
140,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
141,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
142,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
143,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
144,1018,995,1013,1018,1024,1009,989,1024,1018,1024,1013.2
