,Run # 0 BSF,Run # 1 BSF,Run # 2 BSF,Run # 3 BSF,Run # 4 BSF,Run # 5 BSF,Run # 6 BSF,Run # 7 BSF,Run # 8 BSF,Run # 9 BSF,Avg BSF
0,739.0,721.0,822.0,678.0,748.0,759.0,827.0,772.0,692.0,819.0,757.7
1,734.0,721.0,862.0,678.0,748.0,691.0,761.0,783.0,692.0,822.0,749.2
2,694.0,841.0,695.0,799.0,711.0,742.0,631.0,811.0,692.0,823.0,743.9
3,734.0,841.0,695.0,799.0,580.0,709.0,631.0,783.0,696.0,823.0,729.1
4,648.0,688.0,785.0,799.0,637.0,709.0,631.0,798.0,635.0,823.0,715.3
5,491.0,671.0,785.0,799.0,637.0,695.0,641.0,783.0,635.0,685.0,682.2
6,535.0,648.0,785.0,782.0,764.0,638.0,669.0,791.0,698.0,679.0,698.9
7,535.0,648.0,825.0,710.0,764.0,681.0,694.0,841.0,698.0,676.0,707.2
8,568.0,509.0,825.0,786.0,703.0,672.0,578.0,831.0,644.0,676.0,679.2
9,491.0,509.0,900.0,809.0,580.0,672.0,656.0,831.0,626.0,699.0,677.3
10,563.0,599.0,900.0,809.0,580.0,617.0,787.0,843.0,626.0,685.0,700.9
11,563.0,509.0,900.0,809.0,592.0,609.0,787.0,841.0,681.0,676.0,696.7
12,563.0,641.0,900.0,834.0,657.0,681.0,796.0,841.0,704.0,641.0,725.8
13,548.0,569.0,900.0,834.0,580.0,686.0,850.0,841.0,704.0,641.0,715.3
14,581.0,569.0,900.0,834.0,658.0,681.0,787.0,841.0,704.0,599.0,715.4
15,554.0,644.0,900.0,685.0,670.0,681.0,787.0,841.0,634.0,599.0,699.5
16,554.0,644.0,865.0,743.0,777.0,700.0,787.0,876.0,634.0,599.0,717.9
17,554.0,707.0,840.0,818.0,501.0,700.0,787.0,841.0,626.0,599.0,697.3
18,491.0,707.0,888.0,818.0,501.0,617.0,787.0,841.0,634.0,509.0,679.3
19,491.0,707.0,840.0,818.0,501.0,609.0,787.0,841.0,626.0,509.0,672.9
20,491.0,707.0,825.0,818.0,486.0,609.0,787.0,841.0,626.0,486.0,667.6
21,506.0,707.0,826.0,818.0,532.0,609.0,787.0,850.0,626.0,486.0,674.7
22,506.0,659.0,797.0,818.0,577.0,609.0,787.0,841.0,626.0,486.0,670.6
23,506.0,659.0,797.0,858.0,577.0,563.0,787.0,841.0,625.0,492.0,670.5
24,550.0,659.0,797.0,818.0,577.0,563.0,787.0,861.0,617.0,540.0,676.9
25,506.0,659.0,855.0,818.0,577.0,563.0,747.0,826.0,609.0,563.0,672.3
26,506.0,659.0,855.0,876.0,577.0,626.0,747.0,826.0,609.0,486.0,676.7
27,535.0,659.0,860.0,881.0,577.0,626.0,775.0,826.0,699.0,563.0,700.1
28,472.0,659.0,860.0,881.0,623.0,626.0,775.0,826.0,609.0,563.0,689.4
29,491.0,688.0,860.0,881.0,577.0,611.0,877.0,861.0,609.0,546.0,700.1
30,550.0,688.0,792.0,935.0,578.0,606.0,775.0,876.0,670.0,546.0,701.6
31,550.0,641.0,821.0,881.0,561.0,606.0,775.0,863.0,609.0,586.0,689.3
32,550.0,661.0,792.0,841.0,561.0,681.0,787.0,789.0,609.0,586.0,685.7
33,550.0,661.0,840.0,801.0,561.0,650.0,752.0,789.0,609.0,586.0,679.9
34,544.0,661.0,792.0,801.0,561.0,681.0,752.0,789.0,609.0,616.0,680.6
35,549.0,661.0,792.0,801.0,561.0,681.0,752.0,864.0,643.0,616.0,692.0
36,619.0,661.0,853.0,801.0,607.0,681.0,752.0,864.0,640.0,649.0,712.7
37,619.0,661.0,853.0,801.0,607.0,772.0,752.0,864.0,640.0,649.0,721.8
38,544.0,751.0,853.0,801.0,617.0,772.0,752.0,864.0,684.0,666.0,730.4
39,544.0,751.0,853.0,801.0,532.0,772.0,717.0,821.0,684.0,666.0,714.1
40,544.0,751.0,853.0,801.0,578.0,772.0,717.0,804.0,684.0,541.0,704.5
41,547.0,751.0,916.0,801.0,561.0,772.0,715.0,804.0,651.0,566.0,708.4
42,544.0,751.0,916.0,801.0,561.0,772.0,718.0,789.0,651.0,566.0,706.9
43,559.0,751.0,916.0,801.0,586.0,800.0,718.0,789.0,651.0,526.0,709.7
44,559.0,751.0,853.0,826.0,561.0,756.0,718.0,866.0,651.0,526.0,706.7
45,535.0,752.0,853.0,801.0,652.0,818.0,793.0,789.0,648.0,603.0,724.4
46,535.0,752.0,853.0,801.0,561.0,818.0,718.0,783.0,648.0,603.0,707.2
47,472.0,752.0,853.0,836.0,638.0,801.0,718.0,775.0,573.0,603.0,702.1
48,472.0,752.0,853.0,836.0,636.0,847.0,718.0,789.0,587.0,678.0,716.8
49,544.0,797.0,853.0,841.0,636.0,801.0,718.0,789.0,609.0,726.0,731.4
50,501.0,576.0,853.0,841.0,636.0,756.0,690.0,789.0,573.0,678.0,689.3
51,495.0,576.0,893.0,807.0,708.0,833.0,690.0,844.0,700.0,747.0,729.3
52,510.0,576.0,830.0,807.0,708.0,756.0,690.0,844.0,640.0,747.0,710.8
53,486.0,570.0,830.0,807.0,636.0,756.0,695.0,754.0,654.0,747.0,693.5
54,486.0,645.0,842.0,807.0,561.0,732.0,699.0,804.0,649.0,747.0,697.2
55,486.0,645.0,813.0,807.0,561.0,710.0,699.0,841.0,638.0,747.0,694.7
56,486.0,631.0,813.0,807.0,603.0,710.0,759.0,841.0,648.0,747.0,704.5
57,561.0,610.0,813.0,799.0,603.0,710.0,759.0,754.0,587.0,747.0,694.3
58,486.0,610.0,813.0,799.0,603.0,710.0,684.0,754.0,619.0,747.0,682.5
59,561.0,616.0,813.0,799.0,603.0,710.0,684.0,829.0,664.0,747.0,702.6
60,532.0,645.0,813.0,799.0,603.0,710.0,715.0,769.0,619.0,747.0,695.2
61,576.0,609.0,813.0,761.0,675.0,710.0,712.0,789.0,619.0,747.0,701.1
62,576.0,743.0,822.0,803.0,675.0,718.0,712.0,769.0,623.0,787.0,722.8
63,610.0,743.0,822.0,803.0,675.0,785.0,712.0,831.0,619.0,787.0,738.7
64,609.0,743.0,822.0,835.0,736.0,862.0,775.0,831.0,619.0,793.0,762.5
65,480.0,668.0,822.0,803.0,675.0,862.0,775.0,775.0,619.0,707.0,718.6
66,480.0,668.0,876.0,799.0,675.0,870.0,775.0,831.0,619.0,682.0,727.5
67,480.0,668.0,876.0,799.0,675.0,744.0,775.0,831.0,682.0,682.0,721.2
68,526.0,670.0,822.0,799.0,589.0,744.0,775.0,831.0,717.0,663.0,713.6
69,526.0,752.0,804.0,799.0,582.0,744.0,775.0,754.0,717.0,663.0,711.6
70,595.0,752.0,804.0,799.0,593.0,681.0,775.0,771.0,717.0,724.0,721.1
71,595.0,734.0,827.0,799.0,582.0,681.0,775.0,771.0,717.0,754.0,723.5
72,595.0,662.0,827.0,799.0,582.0,681.0,775.0,786.0,795.0,663.0,716.5
73,667.0,662.0,804.0,799.0,582.0,683.0,778.0,846.0,619.0,663.0,710.3
74,595.0,662.0,804.0,799.0,654.0,772.0,775.0,786.0,619.0,703.0,716.9
75,595.0,662.0,822.0,706.0,582.0,760.0,740.0,786.0,619.0,703.0,697.5
76,529.0,662.0,876.0,706.0,673.0,727.0,804.0,786.0,619.0,703.0,708.5
77,531.0,662.0,717.0,706.0,625.0,726.0,740.0,846.0,619.0,793.0,696.5
