,Run # 0 BSF,Run # 1 BSF,Run # 2 BSF,Run # 3 BSF,Run # 4 BSF,Run # 5 BSF,Run # 6 BSF,Run # 7 BSF,Run # 8 BSF,Run # 9 BSF,Avg BSF
0,637.0,729.0,780.0,698.0,909.0,649.0,671.0,809.0,827.0,797.0,750.6
1,586.0,729.0,698.0,634.0,909.0,620.0,671.0,809.0,827.0,797.0,728.0
2,557.0,708.0,701.0,646.0,790.0,596.0,671.0,685.0,552.0,676.0,658.2
3,542.0,611.0,698.0,675.0,790.0,596.0,671.0,685.0,595.0,684.0,654.7
4,542.0,611.0,770.0,680.0,742.0,596.0,671.0,685.0,641.0,752.0,669.0
5,522.0,611.0,741.0,735.0,649.0,596.0,629.0,673.0,641.0,752.0,654.9
6,522.0,611.0,698.0,709.0,649.0,596.0,691.0,643.0,641.0,752.0,651.2
7,589.0,655.0,773.0,709.0,532.0,596.0,691.0,703.0,641.0,676.0,656.5
8,517.0,672.0,773.0,675.0,514.0,671.0,691.0,598.0,643.0,676.0,643.0
9,522.0,687.0,773.0,719.0,586.0,596.0,691.0,616.0,599.0,676.0,646.5
10,522.0,474.0,833.0,691.0,586.0,684.0,707.0,688.0,599.0,697.0,648.1
11,519.0,413.0,773.0,726.0,546.0,671.0,682.0,688.0,639.0,589.0,624.6
12,519.0,490.0,733.0,692.0,546.0,671.0,631.0,535.0,634.0,589.0,604.0
13,522.0,491.0,733.0,646.0,636.0,746.0,647.0,527.0,676.0,603.0,622.7
14,586.0,476.0,773.0,682.0,636.0,671.0,631.0,596.0,676.0,603.0,633.0
15,610.0,428.0,788.0,682.0,505.0,671.0,631.0,621.0,676.0,644.0,625.6
16,560.0,430.0,773.0,650.0,505.0,671.0,631.0,550.0,599.0,644.0,601.3
17,560.0,438.0,848.0,646.0,505.0,591.0,631.0,581.0,599.0,652.0,605.1
18,596.0,430.0,848.0,671.0,505.0,579.0,631.0,550.0,671.0,644.0,612.5
19,607.0,476.0,848.0,646.0,470.0,618.0,631.0,625.0,671.0,651.0,624.3
20,607.0,442.0,712.0,619.0,506.0,658.0,666.0,625.0,671.0,651.0,615.7
21,606.0,413.0,695.0,668.0,506.0,618.0,666.0,625.0,676.0,666.0,613.9
22,606.0,433.0,695.0,687.0,506.0,618.0,666.0,550.0,616.0,683.0,606.0
23,656.0,436.0,695.0,668.0,506.0,618.0,732.0,550.0,616.0,683.0,616.0
24,688.0,444.0,695.0,668.0,510.0,618.0,740.0,550.0,616.0,683.0,621.2
25,606.0,444.0,716.0,668.0,545.0,618.0,740.0,550.0,616.0,741.0,624.4
26,606.0,447.0,724.0,668.0,581.0,604.0,740.0,550.0,533.0,678.0,613.1
27,635.0,398.0,724.0,648.0,297.0,567.0,740.0,596.0,596.0,678.0,587.9
28,635.0,432.0,770.0,654.0,297.0,595.0,654.0,596.0,596.0,617.0,584.6
29,635.0,432.0,770.0,557.0,272.0,595.0,684.0,431.0,596.0,617.0,558.9
30,566.0,446.0,716.0,557.0,272.0,595.0,547.0,506.0,596.0,603.0,540.4
31,566.0,432.0,656.0,557.0,297.0,670.0,576.0,514.0,596.0,638.0,550.2
32,566.0,405.0,656.0,557.0,315.0,731.0,539.0,514.0,596.0,638.0,551.7
33,524.0,386.0,718.0,557.0,318.0,733.0,582.0,466.0,636.0,638.0,555.8
34,587.0,426.0,718.0,603.0,318.0,733.0,633.0,451.0,636.0,638.0,574.3
35,509.0,440.0,747.0,636.0,362.0,595.0,633.0,451.0,636.0,603.0,561.2
36,509.0,386.0,762.0,636.0,433.0,595.0,533.0,491.0,636.0,644.0,562.5
37,509.0,386.0,747.0,636.0,393.0,733.0,567.0,566.0,636.0,644.0,581.7
38,434.0,464.0,718.0,603.0,393.0,733.0,533.0,491.0,636.0,644.0,564.9
39,434.0,460.0,718.0,603.0,347.0,733.0,579.0,491.0,636.0,644.0,564.5
40,402.0,444.0,718.0,557.0,441.0,733.0,582.0,491.0,636.0,644.0,564.8
41,402.0,430.0,790.0,557.0,379.0,742.0,597.0,451.0,636.0,582.0,556.6
42,397.0,369.0,790.0,571.0,454.0,702.0,597.0,491.0,558.0,582.0,551.1
43,397.0,460.0,790.0,557.0,454.0,702.0,551.0,491.0,546.0,582.0,553.0
44,328.0,430.0,790.0,557.0,403.0,702.0,533.0,491.0,546.0,582.0,536.2
45,328.0,446.0,805.0,557.0,377.0,742.0,561.0,491.0,546.0,582.0,543.5
46,348.0,446.0,750.0,594.0,421.0,627.0,561.0,453.0,546.0,520.0,526.6
47,390.0,446.0,750.0,557.0,356.0,627.0,561.0,462.0,546.0,520.0,521.5
48,390.0,446.0,718.0,522.0,463.0,704.0,538.0,462.0,546.0,513.0,530.2
49,390.0,446.0,718.0,621.0,387.0,671.0,538.0,525.0,518.0,558.0,537.2
50,390.0,446.0,779.0,621.0,490.0,627.0,538.0,525.0,455.0,558.0,542.9
51,390.0,372.0,790.0,621.0,432.0,636.0,476.0,525.0,455.0,505.0,520.2
52,390.0,438.0,793.0,612.0,432.0,676.0,475.0,462.0,452.0,582.0,531.2
53,355.0,432.0,718.0,614.0,490.0,636.0,475.0,462.0,515.0,581.0,527.8
54,316.0,509.0,718.0,597.0,507.0,636.0,489.0,477.0,515.0,604.0,536.8
55,463.0,509.0,793.0,651.0,507.0,584.0,524.0,491.0,457.0,581.0,556.0
56,409.0,584.0,733.0,576.0,529.0,659.0,523.0,523.0,415.0,581.0,553.2
57,393.0,584.0,733.0,576.0,489.0,619.0,483.0,525.0,415.0,569.0,538.6
58,316.0,584.0,762.0,576.0,421.0,584.0,475.0,523.0,415.0,569.0,522.5
59,391.0,584.0,762.0,576.0,467.0,584.0,504.0,462.0,407.0,505.0,524.2
60,316.0,584.0,793.0,576.0,544.0,647.0,443.0,462.0,407.0,505.0,527.7
61,391.0,628.0,762.0,576.0,381.0,622.0,443.0,458.0,407.0,505.0,517.3
62,362.0,584.0,762.0,576.0,410.0,657.0,521.0,508.0,470.0,459.0,530.9
63,391.0,638.0,774.0,597.0,410.0,582.0,414.0,583.0,589.0,459.0,543.7
64,376.0,638.0,774.0,557.0,410.0,622.0,460.0,583.0,589.0,459.0,546.8
65,362.0,638.0,774.0,557.0,502.0,645.0,460.0,583.0,541.0,333.0,539.5
66,393.0,638.0,777.0,557.0,502.0,637.0,595.0,583.0,589.0,333.0,560.4
67,407.0,638.0,777.0,522.0,456.0,637.0,504.0,644.0,526.0,408.0,551.9
68,407.0,682.0,777.0,475.0,456.0,700.0,429.0,583.0,455.0,408.0,537.2
69,407.0,716.0,777.0,565.0,456.0,700.0,536.0,583.0,493.0,408.0,564.1
70,485.0,682.0,762.0,500.0,310.0,775.0,488.0,421.0,506.0,452.0,538.1
71,468.0,638.0,759.0,515.0,310.0,775.0,458.0,511.0,463.0,483.0,538.0
72,469.0,638.0,759.0,566.0,310.0,775.0,429.0,511.0,546.0,408.0,541.1
73,394.0,655.0,788.0,565.0,337.0,775.0,440.0,493.0,499.0,486.0,543.2
74,394.0,678.0,849.0,565.0,310.0,775.0,567.0,493.0,530.0,486.0,564.7
75,307.0,667.0,849.0,563.0,346.0,869.0,567.0,525.0,459.0,409.0,556.1
76,287.0,711.0,849.0,563.0,346.0,810.0,567.0,539.0,495.0,409.0,557.6
77,287.0,638.0,849.0,563.0,310.0,810.0,567.0,533.0,532.0,409.0,549.8
78,339.0,653.0,849.0,598.0,310.0,852.0,487.0,465.0,495.0,394.0,544.2
79,339.0,653.0,849.0,598.0,386.0,810.0,518.0,533.0,495.0,302.0,548.3
80,339.0,638.0,849.0,598.0,398.0,810.0,518.0,465.0,495.0,302.0,541.2
81,333.0,638.0,830.0,598.0,290.0,850.0,518.0,569.0,533.0,302.0,546.1
82,333.0,653.0,830.0,571.0,290.0,850.0,518.0,569.0,586.0,300.0,550.0
83,333.0,638.0,830.0,571.0,346.0,850.0,443.0,504.0,586.0,288.0,538.9
84,335.0,716.0,763.0,571.0,346.0,850.0,457.0,504.0,548.0,254.0,534.4
85,351.0,716.0,830.0,590.0,346.0,850.0,443.0,537.0,548.0,285.0,549.6
86,335.0,638.0,830.0,598.0,346.0,850.0,478.0,537.0,625.0,291.0,552.8
87,337.0,710.0,830.0,598.0,346.0,850.0,478.0,537.0,625.0,382.0,569.3
88,383.0,655.0,830.0,598.0,346.0,850.0,487.0,566.0,625.0,210.0,555.0
89,370.0,633.0,753.0,547.0,361.0,850.0,487.0,612.0,579.0,210.0,540.2
90,466.0,633.0,781.0,539.0,346.0,850.0,487.0,612.0,579.0,273.0,556.6
91,466.0,673.0,752.0,614.0,424.0,850.0,487.0,656.0,619.0,210.0,575.1
92,466.0,570.0,752.0,600.0,346.0,904.0,460.0,656.0,619.0,300.0,567.3
93,442.0,694.0,752.0,539.0,386.0,904.0,462.0,656.0,619.0,300.0,575.4
94,442.0,694.0,752.0,539.0,424.0,904.0,462.0,566.0,619.0,377.0,577.9
95,442.0,785.0,781.0,630.0,424.0,850.0,458.0,583.0,619.0,285.0,585.7
96,503.0,785.0,781.0,617.0,381.0,927.0,474.0,537.0,694.0,245.0,594.4
97,503.0,785.0,781.0,617.0,381.0,927.0,458.0,537.0,619.0,301.0,590.9
98,466.0,591.0,655.0,617.0,381.0,850.0,517.0,537.0,579.0,314.0,550.7
99,451.0,591.0,655.0,617.0,381.0,850.0,517.0,537.0,605.0,376.0,558.0
100,410.0,606.0,689.0,539.0,423.0,850.0,518.0,537.0,579.0,273.0,542.4
101,410.0,606.0,655.0,556.0,456.0,850.0,561.0,600.0,670.0,227.0,559.1
