,Run # 0 ASF,Run # 1 ASF,Run # 2 ASF,Run # 3 ASF,Run # 4 ASF,Run # 5 ASF,Run # 6 ASF,Run # 7 ASF,Run # 8 ASF,Run # 9 ASF,Avg ASF
0,1.0836172050455337e-05,1.1016404234989204e-05,1.090782332191294e-05,1.0995919781827354e-05,1.090181292567531e-05,1.0994647433976236e-05,1.0792530711862178e-05,1.0848702159798856e-05,1.0868155631700584e-05,1.0865684313054749e-05,1.0902785256525274e-05
1,1.0979056374903077e-05,1.1146770745574508e-05,1.112432222286107e-05,1.1155634901820326e-05,1.0982494949094882e-05,1.1170217607686183e-05,1.0928301547757053e-05,1.0961668789395455e-05,1.099332728971409e-05,1.0959024579810626e-05,1.1040081900861728e-05
2,1.1149100575836663e-05,1.1204014474489264e-05,1.1236360592050614e-05,1.1274992410778719e-05,1.1075621939780926e-05,1.1273077463849177e-05,1.112579300571743e-05,1.1069964779777199e-05,1.1095532375625507e-05,1.102066875947216e-05,1.1152512637737767e-05
3,1.1320542911916353e-05,1.131730571566057e-05,1.1342344924024632e-05,1.1400429413869996e-05,1.1157675160111187e-05,1.1405738090617715e-05,1.1243475519074155e-05,1.1148112214764249e-05,1.1208431975940444e-05,1.1087098877080859e-05,1.1263115480306016e-05
4,1.1463318581992469e-05,1.1479595985703e-05,1.1465255252938638e-05,1.1524157317085259e-05,1.132228878603047e-05,1.1526178208857835e-05,1.1360578426753155e-05,1.1240179868856792e-05,1.1297336190147726e-05,1.1206534637830681e-05,1.1388542325619603e-05
5,1.1560475552746522e-05,1.1583603857666777e-05,1.152987324085392e-05,1.1603231895852312e-05,1.1392271579016464e-05,1.1612378451870406e-05,1.1465778808919393e-05,1.1334634902402501e-05,1.1393017939897204e-05,1.1276744610335923e-05,1.147520108395614e-05
6,1.1650337527441565e-05,1.1662925634927513e-05,1.1605618915924866e-05,1.1638714132159192e-05,1.1505858397641605e-05,1.1706624120496254e-05,1.1540822991312015e-05,1.1424379909804083e-05,1.1457224088261089e-05,1.1328028828612343e-05,1.1552053454658052e-05
7,1.1744787310406417e-05,1.1796317606769911e-05,1.1672340745088855e-05,1.1675720113648464e-05,1.1564577725255146e-05,1.1803017991884384e-05,1.1630689897114406e-05,1.1483167040355042e-05,1.1573816313048667e-05,1.1381158333966428e-05,1.1632559307753772e-05
8,1.1849692336877255e-05,1.197539070652449e-05,1.1697621853357104e-05,1.1726277102363453e-05,1.1622579809925081e-05,1.1892821008954778e-05,1.1686398216620596e-05,1.1545507684862984e-05,1.165831164602158e-05,1.1445498735216731e-05,1.1710009910072405e-05
9,1.1971448196778222e-05,1.207918737588632e-05,1.1729132801374643e-05,1.1756960763555846e-05,1.1683014091130806e-05,1.1960276834828077e-05,1.1763919805583102e-05,1.1614794141284494e-05,1.1735285949525032e-05,1.1492232073703942e-05,1.1778625203365048e-05
10,1.2110515255786325e-05,1.2192105319412655e-05,1.1754817058840395e-05,1.1774868940983191e-05,1.1723094333957102e-05,1.2044618353547123e-05,1.180912422468636e-05,1.1675758899166678e-05,1.1802910607033286e-05,1.1522778195415979e-05,1.1841059118882911e-05
11,1.216695649842753e-05,1.2289593598978902e-05,1.1811771126102457e-05,1.1787481730252764e-05,1.1789949887407446e-05,1.2167115059077194e-05,1.1840340571326374e-05,1.1757499570493623e-05,1.184540151304314e-05,1.1567009469946455e-05,1.1902311902505589e-05
12,1.2228587659883856e-05,1.2366733757236257e-05,1.1879172026672429e-05,1.1816925061056407e-05,1.1863809233771833e-05,1.2260817783799745e-05,1.1875914423466271e-05,1.1839705516726571e-05,1.1882979378334475e-05,1.1587981784463875e-05,1.1960262662541173e-05
13,1.223751977031479e-05,1.2463301810544392e-05,1.1940482387502863e-05,1.1842040715462722e-05,1.1924591211129765e-05,1.2361072898679486e-05,1.1903855180327942e-05,1.1914704154603243e-05,1.191355858197719e-05,1.1630926615201925e-05,1.2013205332574431e-05
14,1.2242557575744177e-05,1.2528515818728342e-05,1.1963445339472804e-05,1.1862767683414177e-05,1.1961560523578347e-05,1.2450309312043819e-05,1.1952010703691799e-05,1.1980249038169078e-05,1.1931815861075035e-05,1.1676299164259566e-05,1.2054953102017714e-05
15,1.2255652286873971e-05,1.2590588539004318e-05,1.19933794274528e-05,1.1885336959460675e-05,1.20128445123069e-05,1.2536625751223908e-05,1.1984638696949632e-05,1.2020129678908698e-05,1.1933400334940302e-05,1.1723502609565647e-05,1.2093609879668685e-05
16,1.226956576931691e-05,1.2647747423178622e-05,1.2013833811248694e-05,1.191496651805203e-05,1.205230813764837e-05,1.2578149386005567e-05,1.2009087680088406e-05,1.2047441343530685e-05,1.1960690916234814e-05,1.176314353193979e-05,1.212569345172439e-05
17,1.229403986777978e-05,1.27039327117636e-05,1.2047092993109805e-05,1.1935542101722929e-05,1.2109650101779535e-05,1.2619277523894376e-05,1.203262862052802e-05,1.207137800845647e-05,1.1974849781843947e-05,1.1807939203945804e-05,1.2159633091482428e-05
18,1.2302930162111436e-05,1.2740288526617378e-05,1.207216619136014e-05,1.1961778024343821e-05,1.219530150025285e-05,1.264846263518723e-05,1.2059683625699748e-05,1.207996858055616e-05,1.198469754752309e-05,1.1827053962530928e-05,1.2187233075618278e-05
19,1.2336432458985365e-05,1.2804465048474127e-05,1.2125435426870712e-05,1.199248743323642e-05,1.2290644115692213e-05,1.268469107536318e-05,1.2093492467857642e-05,1.209790156061793e-05,1.1998466630780295e-05,1.1839470456426147e-05,1.2226348667430402e-05
20,1.2363059052824462e-05,1.2838505988998039e-05,1.2149772001268224e-05,1.2003448993246749e-05,1.2335447369204671e-05,1.2716549078441507e-05,1.2093492467857642e-05,1.2126116564614735e-05,1.2016308359595424e-05,1.1848743016370941e-05,1.224914428924224e-05
21,1.2399568339033888e-05,1.287516196105145e-05,1.2201149930006982e-05,1.2021471052926009e-05,1.2355817550334048e-05,1.2733749377258887e-05,1.2108055507664916e-05,1.2162161422255023e-05,1.2034295673638002e-05,1.1861419138736363e-05,1.2275284995290556e-05
22,1.2446377746383317e-05,1.293077249033019e-05,1.224467135240199e-05,1.2036088203250975e-05,1.2383473065426955e-05,1.2754510946026932e-05,1.212882361091791e-05,1.2205590445583916e-05,1.204792223217926e-05,1.1870499102009914e-05,1.2304872919451137e-05
23,1.2496031406059787e-05,1.2972917644395748e-05,1.2266968554019325e-05,1.2036664091394019e-05,1.2407372834924943e-05,1.27830564389093e-05,1.2151519064056337e-05,1.2242198574175587e-05,1.2081517654415718e-05,1.1876556267895945e-05,1.233148025302467e-05
24,1.2523726296726591e-05,1.3009049728223445e-05,1.2289916184720584e-05,1.2046838092455696e-05,1.2416572698273867e-05,1.2808940309073257e-05,1.217778088510538e-05,1.228158897242495e-05,1.2122141502212588e-05,1.1893224848499203e-05,1.2356977951771557e-05
25,1.2552592921776899e-05,1.303915238778703e-05,1.2309962429228249e-05,1.2046838092455696e-05,1.2442519505982195e-05,1.282471013438023e-05,1.2198397730760294e-05,1.2311746449887628e-05,1.2157362800674693e-05,1.1915447791346826e-05,1.2379873024427972e-05
26,1.258019909972538e-05,1.3067694440775418e-05,1.2332283923275964e-05,1.2063213032615724e-05,1.2475275350646853e-05,1.2841270267610158e-05,1.2222382115539313e-05,1.2334266978385767e-05,1.2194721368985171e-05,1.193345608339482e-05,1.2404476266095457e-05
27,1.2608816018072474e-05,1.3098495406642262e-05,1.2351825599626352e-05,1.207196641084616e-05,1.2520473554539947e-05,1.2874906151388448e-05,1.2229628262386772e-05,1.2359265811807295e-05,1.2212968411153166e-05,1.1959495220829972e-05,1.2428784084729283e-05
28,1.262214531850724e-05,1.315621217382329e-05,1.2377847555801345e-05,1.2100184631081734e-05,1.2535260925906469e-05,1.2902577153964052e-05,1.2246069718182154e-05,1.2389116261531728e-05,1.2233887167009e-05,1.1987837334401657e-05,1.2455113824020867e-05
29,1.2658474356227177e-05,1.3224963931735178e-05,1.2407263815312926e-05,1.2112574578921905e-05,1.2569863219968307e-05,1.2930515983736469e-05,1.2270869487398724e-05,1.24092399267337e-05,1.2245691278923668e-05,1.2037661388794625e-05,1.248671179677527e-05
30,1.2685563441162523e-05,1.3280771537842212e-05,1.2427083535986208e-05,1.2117784773627489e-05,1.261404720338172e-05,1.2957191106618516e-05,1.2333716689357533e-05,1.244944469824723e-05,1.2276475951134169e-05,1.2075731407346071e-05,1.2521781034470367e-05
