,Run # 0 ASF,Run # 1 ASF,Run # 2 ASF,Run # 3 ASF,Run # 4 ASF,Run # 5 ASF,Run # 6 ASF,Run # 7 ASF,Run # 8 ASF,Run # 9 ASF,Avg ASF
0,1.0639437633613807e-05,1.0778590685743312e-05,1.101723413536904e-05,1.0764552206585312e-05,1.0772589543796073e-05,1.0558748126373872e-05,1.0760031891053478e-05,1.0743769030753783e-05,1.0648334873682588e-05,1.0608935081686179e-05,1.0729222320865744e-05
1,1.0590347499690885e-05,1.103857856688267e-05,1.1192377843381927e-05,1.0788899607964213e-05,1.1009737872695832e-05,1.0544543073144368e-05,1.0682073157761514e-05,1.0740340717169875e-05,1.0603003595823566e-05,1.0590149262888369e-05,1.077800511974032e-05
2,1.073045212179547e-05,1.0969676239939215e-05,1.1299992940088626e-05,1.0790954518584119e-05,1.1133832320836738e-05,1.0601944418888965e-05,1.0636947930294041e-05,1.0689368979318766e-05,1.0750646827400471e-05,1.0699197292648397e-05,1.083030135897948e-05
3,1.089841144339973e-05,1.1167231139010243e-05,1.1358964773891523e-05,1.0836107836909284e-05,1.1405365690081061e-05,1.0534442587405663e-05,1.0518961041884828e-05,1.0881007432221567e-05,1.0841041344251368e-05,1.0600055641671394e-05,1.0904158893072666e-05
4,1.1008648125707119e-05,1.1103758931561574e-05,1.1343756454713332e-05,1.0898177876140517e-05,1.1405501628382678e-05,1.054878609205744e-05,1.0548863064467612e-05,1.120650487642896e-05,1.1078646252409574e-05,1.0557402668612127e-05,1.0970004597048092e-05
5,1.0990807628973653e-05,1.0811833124794656e-05,1.142726898436509e-05,1.0882568541820007e-05,1.1366460590428906e-05,1.054661889924594e-05,1.0498194790103328e-05,1.1216706330340873e-05,1.1017001820555538e-05,1.0671803248178314e-05,1.094292639588063e-05
6,1.102398292897806e-05,1.0726579501245501e-05,1.1430327845153757e-05,1.0864286304142852e-05,1.126578944535395e-05,1.0528945319726353e-05,1.0499673598807116e-05,1.1244682261693699e-05,1.1007278365289891e-05,1.0742800520640497e-05,1.0933434609103168e-05
7,1.1013009102205517e-05,1.075487064374184e-05,1.1449692425836673e-05,1.085534371524351e-05,1.1314097755601095e-05,1.0577632145510902e-05,1.0492292883363708e-05,1.123009151918252e-05,1.1250145710378827e-05,1.0739962348178309e-05,1.0967713824924288e-05
8,1.1025154009538323e-05,1.0827868124285821e-05,1.1506079025353745e-05,1.0855366464682729e-05,1.1439915438396926e-05,1.051849397052231e-05,1.0589621081631172e-05,1.1282892364127824e-05,1.1505177510422903e-05,1.0745389422446026e-05,1.1029595741140778e-05
9,1.1097753148311556e-05,1.083683359960366e-05,1.1468815142551144e-05,1.0867321752882956e-05,1.150629432040473e-05,1.0511246700341145e-05,1.064316368221059e-05,1.1267984596078544e-05,1.145146085479172e-05,1.0726068484702274e-05,1.1037694228187831e-05
10,1.1056442667694291e-05,1.0908455808305494e-05,1.1440169005958297e-05,1.089245952785528e-05,1.1503015114753033e-05,1.0550306276064236e-05,1.0546394946237856e-05,1.1251536016369592e-05,1.1481147548411601e-05,1.0755654456967031e-05,1.1038558136861672e-05
