,Run # 0 BSF,Run # 1 BSF,Run # 2 BSF,Run # 3 BSF,Run # 4 BSF,Run # 5 BSF,Run # 6 BSF,Run # 7 BSF,Run # 8 BSF,Run # 9 BSF,Avg BSF
0,1.1155208132893159e-05,1.1230104798544252e-05,1.1417193741286048e-05,1.1257241703525046e-05,1.1244625339172752e-05,1.1031976158353438e-05,1.1245014482124204e-05,1.2027106600368354e-05,1.1100335129046762e-05,1.1175483592643846e-05,1.1288428967795787e-05
1,1.1325644732865148e-05,1.1230104798544252e-05,1.1417193741286048e-05,1.1407696057975038e-05,1.1411822381343913e-05,1.0903799516224043e-05,1.1245014482124204e-05,1.1295548513327216e-05,1.149576691226899e-05,1.1175483592643846e-05,1.1290807472860269e-05
2,1.1143418150463577e-05,1.1230104798544252e-05,1.1417193741286048e-05,1.101448838282946e-05,1.1766532577680096e-05,1.1415810815083833e-05,1.1037565545474446e-05,1.1216645499358479e-05,1.149576691226899e-05,1.0856703715030627e-05,1.1259423013801979e-05
3,1.1143418150463577e-05,1.1230104798544252e-05,1.1468180426884776e-05,1.101448838282946e-05,1.1766532577680096e-05,1.083434836114766e-05,1.0885115524955804e-05,1.1216645499358479e-05,1.149576691226899e-05,1.1040382576691551e-05,1.1209498321082463e-05
4,1.1143418150463577e-05,1.130725111525292e-05,1.1629953398522271e-05,1.099161502004178e-05,1.1766532577680096e-05,1.083434836114766e-05,1.0885115524955804e-05,1.182005637519287e-05,1.149576691226899e-05,1.074585239927865e-05,1.126199098348046e-05
5,1.1143418150463577e-05,1.130725111525292e-05,1.1710376732648046e-05,1.1030645772464197e-05,1.1766532577680096e-05,1.083434836114766e-05,1.0885115524955804e-05,1.1300784827990493e-05,1.1515270930179456e-05,1.0768383946826271e-05,1.1226212793960852e-05
6,1.1143418150463577e-05,1.130725111525292e-05,1.167195323724716e-05,1.091372135174917e-05,1.171133872273067e-05,1.083434836114766e-05,1.0885115524955804e-05,1.1415031478070786e-05,1.1684710613762062e-05,1.074585239927865e-05,1.1231274095465845e-05
7,1.1143418150463577e-05,1.1230104798544252e-05,1.1693620551743183e-05,1.091372135174917e-05,1.171133872273067e-05,1.083434836114766e-05,1.0885115524955804e-05,1.1313653039538112e-05,1.1684710613762062e-05,1.074585239927865e-05,1.1215588351391314e-05
8,1.117562508398164e-05,1.1230104798544252e-05,1.1693620551743183e-05,1.0951680311250897e-05,1.1610638629163245e-05,1.0822617379585417e-05,1.0885115524955804e-05,1.147297379197055e-05,1.1684710613762062e-05,1.082481198401329e-05,1.1235189866897034e-05
9,1.1203013654253534e-05,1.1230104798544252e-05,1.1629953398522271e-05,1.091372135174917e-05,1.166954623193588e-05,1.0822617379585417e-05,1.0885115524955804e-05,1.147297379197055e-05,1.1704861596033294e-05,1.1041504561563894e-05,1.1257341228911406e-05
10,1.1253515006878119e-05,1.1230104798544252e-05,1.1627962806661325e-05,1.1011219817859312e-05,1.1754626991827042e-05,1.0822617379585417e-05,1.1029510457764724e-05,1.147297379197055e-05,1.1545581117127809e-05,1.0896303562091263e-05,1.1264441573030981e-05
11,1.1282655261383871e-05,1.1230104798544252e-05,1.1627962806661325e-05,1.1011219817859312e-05,1.1754626991827042e-05,1.0822617379585417e-05,1.1029510457764724e-05,1.147297379197055e-05,1.1519764340080841e-05,1.0896303562091263e-05,1.126477392077686e-05
12,1.1269547118835624e-05,1.1230104798544252e-05,1.1627962806661325e-05,1.1009961881420789e-05,1.1754626991827042e-05,1.0822617379585417e-05,1.1029510457764724e-05,1.147297379197055e-05,1.1519764340080841e-05,1.0812359854077527e-05,1.125494294207681e-05
13,1.1269547118835624e-05,1.1230104798544252e-05,1.1627962806661325e-05,1.0876530419931448e-05,1.1754626991827042e-05,1.0822617379585417e-05,1.0958700812211149e-05,1.147297379197055e-05,1.1528632070455173e-05,1.0876823484986161e-05,1.1241851967500813e-05
14,1.1270836155940862e-05,1.124086146255317e-05,1.163264156728959e-05,1.0909135544961396e-05,1.1754626991827042e-05,1.0975494118866772e-05,1.0958700812211149e-05,1.147297379197055e-05,1.1519764340080841e-05,1.0812359854077527e-05,1.1254739463977892e-05
15,1.1118927896104785e-05,1.1230104798544252e-05,1.1627962806661325e-05,1.0876530419931448e-05,1.18002712709801e-05,1.070629793320803e-05,1.1003471163905381e-05,1.147297379197055e-05,1.1519764340080841e-05,1.0812359854077527e-05,1.1216866427546424e-05
16,1.1070115532779343e-05,1.1211404485934377e-05,1.1608750332118135e-05,1.0876530419931448e-05,1.1754626991827042e-05,1.068223141122151e-05,1.1002182939347912e-05,1.1484415304342793e-05,1.1519764340080841e-05,1.0812913972622893e-05,1.120229357302063e-05
17,1.1189656128278617e-05,1.1277250010476994e-05,1.1467704368543642e-05,1.0872010789844817e-05,1.1785673636802337e-05,1.0665002990645053e-05,1.1232960109773323e-05,1.1537931538632713e-05,1.1519764340080841e-05,1.0812359854077527e-05,1.1236031376715586e-05
18,1.1269179238270017e-05,1.125852066553924e-05,1.1320451717337136e-05,1.0914890034125882e-05,1.1806842651639758e-05,1.0665002990645053e-05,1.1232960109773323e-05,1.147297379197055e-05,1.1519764340080841e-05,1.0812359854077527e-05,1.1227294539345934e-05
19,1.1269179238270017e-05,1.125852066553924e-05,1.1323268563021395e-05,1.0874450967812345e-05,1.1754626991827042e-05,1.0665002990645053e-05,1.1232960109773323e-05,1.147297379197055e-05,1.1730651937408527e-05,1.0812359854077527e-05,1.1239399511034503e-05
20,1.1271360865978602e-05,1.1360702091153125e-05,1.1305896121201884e-05,1.0872010789844817e-05,1.1812838661518485e-05,1.0543584149414067e-05,1.132971312713255e-05,1.1510574549762625e-05,1.1730651937408527e-05,1.0812359854077527e-05,1.1254969214749222e-05
