,Run # 0 ASF,Run # 1 ASF,Run # 2 ASF,Run # 3 ASF,Run # 4 ASF,Run # 5 ASF,Run # 6 ASF,Run # 7 ASF,Run # 8 ASF,Run # 9 ASF,Avg ASF
0,1.068880820694714e-05,1.067182001878375e-05,1.1112518366293659e-05,1.0780057882204258e-05,1.0970295514036686e-05,1.0942445054987245e-05,1.074626387202481e-05,1.0584133300966845e-05,1.0905563156792924e-05,1.0667236768347747e-05,1.0806914214138506e-05
1,1.0601353701384344e-05,1.058185629737354e-05,1.1067043380741398e-05,1.0751401618547337e-05,1.0959481869149857e-05,1.104598953045624e-05,1.0660774601082276e-05,1.0479401034961101e-05,1.0832524152008828e-05,1.0508432257694831e-05,1.0748825844339975e-05
2,1.0642925599055007e-05,1.0620207463506062e-05,1.1093866664336364e-05,1.0754458630797347e-05,1.0937334030354253e-05,1.1106912355916263e-05,1.061838802061616e-05,1.0393166329162153e-05,1.0939636656367098e-05,1.0447162835864482e-05,1.075540585859752e-05
3,1.0527937280762729e-05,1.0719733532449053e-05,1.0949101423494897e-05,1.0833908495197545e-05,1.087921540859067e-05,1.1003309839450056e-05,1.055838879942981e-05,1.03586305845932e-05,1.1092524645009589e-05,1.0323379795515247e-05,1.0724612980449278e-05
4,1.053157527234224e-05,1.0810263444618213e-05,1.1113258886581508e-05,1.0853501129322915e-05,1.0873967857106005e-05,1.0956412158225326e-05,1.067221391348126e-05,1.0388293273095266e-05,1.098057903077652e-05,1.0254491297185616e-05,1.074345562627349e-05
5,1.0532489338752595e-05,1.092956918436913e-05,1.1077465458410075e-05,1.0660424939729498e-05,1.0926309674861016e-05,1.0939519776241552e-05,1.0721504137574625e-05,1.0411762638618826e-05,1.1002159245457216e-05,1.0242033362137508e-05,1.0744323775615204e-05
6,1.053820232028536e-05,1.0888118499611031e-05,1.1147541577562768e-05,1.0725706352845882e-05,1.099680634929158e-05,1.093254512455677e-05,1.082042059335938e-05,1.0519608827955992e-05,1.103835572716614e-05,1.025505603970247e-05,1.0786236141233739e-05
7,1.055113810460471e-05,1.0868290170583933e-05,1.1173161671963516e-05,1.0764059476935972e-05,1.0974316434893869e-05,1.0935948451141909e-05,1.0759077939953641e-05,1.049243494483139e-05,1.1105041715729386e-05,1.0239001766248865e-05,1.078624706768872e-05
8,1.0565469638067015e-05,1.0838158427379944e-05,1.1071344346499072e-05,1.0900151211264176e-05,1.094817099096139e-05,1.0935772833874171e-05,1.0732804765300391e-05,1.050655567562514e-05,1.1148311434685941e-05,1.0321377950047202e-05,1.0796811727370444e-05
9,1.0566597156106614e-05,1.0897667487112455e-05,1.1066596375984402e-05,1.0674963545965566e-05,1.0985137542155983e-05,1.092798753483992e-05,1.0766022243466014e-05,1.0562761865966383e-05,1.1002814315487847e-05,1.0273998310236223e-05,1.077245463773214e-05
10,1.0557641730848747e-05,1.0904125142318748e-05,1.1018329676376288e-05,1.0552951093243372e-05,1.1016524566788305e-05,1.0955529711783132e-05,1.06577344821391e-05,1.0492448280330695e-05,1.0992139569629877e-05,1.0291544077915374e-05,1.0743896833137363e-05
11,1.051679822388616e-05,1.0880052239196622e-05,1.0968409832521338e-05,1.0613598092403279e-05,1.1030581904292685e-05,1.0936027674187796e-05,1.0554041138661927e-05,1.0546745032122034e-05,1.1075848821258752e-05,1.0271876441320078e-05,1.0739397939985067e-05
12,1.0505203146764318e-05,1.0862892849670076e-05,1.0985574072347606e-05,1.066655078156256e-05,1.1017822817801474e-05,1.093729765773335e-05,1.0607225771806422e-05,1.0511521384580307e-05,1.1139105127736002e-05,1.0247051660719422e-05,1.0748024527072154e-05
13,1.0530181934135603e-05,1.088829399433906e-05,1.1013499826951772e-05,1.0799355406360056e-05,1.1004592178044316e-05,1.0932195712511335e-05,1.0693707704176829e-05,1.0541735479014305e-05,1.1211270366493255e-05,1.0299396822185028e-05,1.0791422942421156e-05
14,1.0529360525416311e-05,1.0873450570044486e-05,1.0987564475763613e-05,1.0969898641123664e-05,1.1019765737044166e-05,1.0942682314221548e-05,1.0662264564990794e-05,1.055869444628253e-05,1.1227640704304868e-05,1.0307664472599257e-05,1.0807898645179124e-05
15,1.0508958476843781e-05,1.0929892046709766e-05,1.0994664336894246e-05,1.1046832375501737e-05,1.0977352228160559e-05,1.0941678534952147e-05,1.0676331550226593e-05,1.0588237901591831e-05,1.1233280387720741e-05,1.0314799882035315e-05,1.0821202772063672e-05
16,1.0530679577254151e-05,1.0907055774341221e-05,1.1010615937921228e-05,1.1113257173198017e-05,1.1010052834046852e-05,1.0943696172953695e-05,1.0728050227165746e-05,1.0539772844778212e-05,1.1261067642643607e-05,1.0325574486982805e-05,1.0836982267128552e-05
17,1.05126382981249e-05,1.0870869083807876e-05,1.099597578849865e-05,1.1157707515776223e-05,1.0986823889750315e-05,1.0941747739703333e-05,1.0737316671532398e-05,1.047510709175548e-05,1.1243927198996747e-05,1.0338031626729828e-05,1.0826014490467577e-05
18,1.051156124908005e-05,1.0825836190462472e-05,1.104331497788048e-05,1.1152209862316526e-05,1.0992559260811038e-05,1.0945952466427299e-05,1.0760006508884676e-05,1.056310849454856e-05,1.126801619787711e-05,1.0341282375276485e-05,1.0840384758356468e-05
19,1.0430627834185963e-05,1.0808927085485385e-05,1.0999009930481323e-05,1.1141693803342284e-05,1.0947012062675993e-05,1.0942693501674886e-05,1.0753757099702862e-05,1.0567125609762824e-05,1.1270863789731632e-05,1.0315482329376746e-05,1.081771930464199e-05
20,1.0425038772654933e-05,1.0757620504771026e-05,1.0980355063568392e-05,1.1099639904167408e-05,1.0946920415821904e-05,1.0936305052241542e-05,1.0752459003672927e-05,1.0567957092597938e-05,1.1256136939735727e-05,1.0331947953133265e-05,1.0805438070236506e-05
21,1.0425355294423417e-05,1.0773975455057648e-05,1.0996524341870205e-05,1.113937999991051e-05,1.0976130899977213e-05,1.0926433189761495e-05,1.0749005181550425e-05,1.0556941018349859e-05,1.1242726546361495e-05,1.0340006086384578e-05,1.0812647801364685e-05
22,1.0438303113284087e-05,1.0818143626637082e-05,1.0998686148842524e-05,1.1131274053628482e-05,1.0960548307903225e-05,1.093997822314675e-05,1.0729994327478529e-05,1.0545920968798399e-05,1.1260148744462198e-05,1.0313829552650721e-05,1.0813682706683198e-05
23,1.0472944208704952e-05,1.0854906563279166e-05,1.0991949726432067e-05,1.1148083060216356e-05,1.096964997024191e-05,1.0958967104772959e-05,1.0746992506107834e-05,1.0561085493912015e-05,1.1261807396282948e-05,1.0326551941137841e-05,1.0829293797108806e-05
24,1.0495062008049918e-05,1.0856245342205654e-05,1.0992883672966946e-05,1.1141150322572766e-05,1.0993826319381966e-05,1.0949152205988418e-05,1.0736449065448462e-05,1.0616350844742945e-05,1.1238851303051842e-05,1.0288601076111195e-05,1.0830857216052012e-05
25,1.053451670713658e-05,1.083349010716104e-05,1.098420825823422e-05,1.1123063564464846e-05,1.1008655390124836e-05,1.0940878124703957e-05,1.0754987963756475e-05,1.062118016032694e-05,1.1212569910996835e-05,1.0305270943522396e-05,1.0831882113042813e-05
