,Run # 0 BSF,Run # 1 BSF,Run # 2 BSF,Run # 3 BSF,Run # 4 BSF,Run # 5 BSF,Run # 6 BSF,Run # 7 BSF,Run # 8 BSF,Run # 9 BSF,Avg BSF
0,1.1391586766306133e-05,1.1084824825667393e-05,1.1508876627660938e-05,1.1221061655800919e-05,1.1780140586603786e-05,1.1397774555374792e-05,1.1219821474891515e-05,1.1126844977332465e-05,1.1323348337751432e-05,1.1735342447395543e-05,1.1378962225478493e-05
1,1.1391586766306133e-05,1.1084824825667393e-05,1.1508876627660938e-05,1.123261652561117e-05,1.1780140586603786e-05,1.1680297321515142e-05,1.1219821474891515e-05,1.0951243219256598e-05,1.1323348337751432e-05,1.1580410270647554e-05,1.1375316595591166e-05
2,1.1391586766306133e-05,1.0880045644367124e-05,1.1508876627660938e-05,1.123261652561117e-05,1.121359445419819e-05,1.1607652659092389e-05,1.099681577299605e-05,1.078626779653386e-05,1.1555040849575769e-05,1.0815484122071018e-05,1.1198798121841263e-05
3,1.0594478235293692e-05,1.0880045644367124e-05,1.1431935861864305e-05,1.123261652561117e-05,1.1162883013411338e-05,1.1480491573173275e-05,1.0963044539763455e-05,1.0808478574098826e-05,1.158591869805945e-05,1.061503304486922e-05,1.1075492571051184e-05
4,1.055314167883378e-05,1.0902835342706761e-05,1.1431935861864305e-05,1.123261652561117e-05,1.1162883013411338e-05,1.1278255121761622e-05,1.0963044539763455e-05,1.0808478574098826e-05,1.1555040849575769e-05,1.04099293533499e-05,1.1029816086097693e-05
5,1.058013182939073e-05,1.1145607243580055e-05,1.1448295886742426e-05,1.1128543123626745e-05,1.1162883013411338e-05,1.0941671698653063e-05,1.1174287858483606e-05,1.0808478574098826e-05,1.1555040849575769e-05,1.0410087828968447e-05,1.1035502790653101e-05
6,1.0617085830965514e-05,1.1151557493349157e-05,1.1448295886742426e-05,1.1128543123626745e-05,1.1246778071012973e-05,1.09912131442416e-05,1.1225266390856522e-05,1.0808478574098826e-05,1.1555040849575769e-05,1.0410087828968447e-05,1.1058234719343798e-05
7,1.0677257225248384e-05,1.1145607243580055e-05,1.1448295886742426e-05,1.1086054632417846e-05,1.1089898117134055e-05,1.09912131442416e-05,1.1225266390856522e-05,1.0808478574098826e-05,1.1555040849575769e-05,1.0513842169505827e-05,1.1054095423340131e-05
8,1.0677257225248384e-05,1.095495993066538e-05,1.1431935861864305e-05,1.113502723346383e-05,1.1089898117134055e-05,1.09912131442416e-05,1.0997769407599132e-05,1.0808478574098826e-05,1.1432082507688749e-05,1.0513842169505827e-05,1.1003246417151008e-05
9,1.0775409585444021e-05,1.110476196154168e-05,1.1372712538282651e-05,1.1250522953426762e-05,1.1089898117134055e-05,1.09912131442416e-05,1.0997769407599132e-05,1.0808478574098826e-05,1.1264812459449352e-05,1.0480999212817876e-05,1.1013657795403597e-05
10,1.0701765885505698e-05,1.104173281314189e-05,1.1403504798480864e-05,1.1130157296755052e-05,1.1146293529874057e-05,1.1062909783175818e-05,1.0997769407599132e-05,1.0654369318705221e-05,1.1264812459449352e-05,1.0343041760254567e-05,1.0974635705294165e-05
11,1.0645920080557887e-05,1.0972944575420498e-05,1.1127106434539549e-05,1.1130157296755052e-05,1.1146293529874057e-05,1.0941671698653063e-05,1.0997769407599132e-05,1.0706974506147688e-05,1.1264812459449352e-05,1.0299683444915947e-05,1.092333334339122e-05
12,1.0686464214009112e-05,1.0942997869394016e-05,1.1169989361658076e-05,1.1130157296755052e-05,1.1089898117134055e-05,1.1008744074043921e-05,1.0823083357167707e-05,1.0706974506147688e-05,1.13129483668347e-05,1.028682942628924e-05,1.0915808658943357e-05
13,1.0686464214009112e-05,1.0988600379969897e-05,1.1222536005713181e-05,1.1166061055998762e-05,1.1089898117134055e-05,1.1008744074043921e-05,1.0771581414781607e-05,1.0706974506147688e-05,1.13129483668347e-05,1.0322085216831257e-05,1.0927589335146419e-05
14,1.0686464214009112e-05,1.0988600379969897e-05,1.1222536005713181e-05,1.1166061055998762e-05,1.1089898117134055e-05,1.0975723911720417e-05,1.0771581414781607e-05,1.067808019150023e-05,1.13129483668347e-05,1.0387337805710688e-05,1.0927923146337265e-05
15,1.0680008426439525e-05,1.0988600379969897e-05,1.1229961665950208e-05,1.1166061055998762e-05,1.1089898117134055e-05,1.0949460381962907e-05,1.0771581414781607e-05,1.066137709121856e-05,1.1326020393814284e-05,1.0387238054397349e-05,1.0925020698166716e-05
16,1.0695020219362726e-05,1.1121441269818892e-05,1.117354681660571e-05,1.1166061055998762e-05,1.108718566300535e-05,1.0949181151675579e-05,1.0861830404632186e-05,1.066137709121856e-05,1.136092461228193e-05,1.0390281804480935e-05,1.0946685008908063e-05
17,1.0675527076201019e-05,1.0988600379969897e-05,1.1144363228153173e-05,1.12801910541193e-05,1.108718566300535e-05,1.0949181151675579e-05,1.0771581414781607e-05,1.067361205173242e-05,1.136092461228193e-05,1.0390281804480935e-05,1.0932144843640121e-05
18,1.0742284051621945e-05,1.0988600379969897e-05,1.1094081040428644e-05,1.12801910541193e-05,1.108718566300535e-05,1.0964180867778988e-05,1.0814036778413458e-05,1.067361205173242e-05,1.136092461228193e-05,1.0390281804480935e-05,1.0939537830383287e-05
19,1.063599088795268e-05,1.0979546495154329e-05,1.1089658293272058e-05,1.1244464621168294e-05,1.1149132178618712e-05,1.1082562153004053e-05,1.0771581414781607e-05,1.0773051997377316e-05,1.1310197436566423e-05,1.0386115996181287e-05,1.0942230147407674e-05
20,1.0566898564276319e-05,1.0854139684022207e-05,1.1089658293272058e-05,1.1154272448440175e-05,1.108718566300535e-05,1.0949181151675579e-05,1.0771581414781607e-05,1.0773051997377316e-05,1.1310197436566423e-05,1.0390281804480935e-05,1.0894644845789797e-05
21,1.0524656526075239e-05,1.0963529908568882e-05,1.1089658293272058e-05,1.131426579740207e-05,1.1068966702331568e-05,1.098288731722449e-05,1.0898978129896553e-05,1.067361205173242e-05,1.1306153654641666e-05,1.039238439281204e-05,1.0921509277395699e-05
