,Run # 0 ASF,Run # 1 ASF,Run # 2 ASF,Run # 3 ASF,Run # 4 ASF,Run # 5 ASF,Run # 6 ASF,Run # 7 ASF,Run # 8 ASF,Run # 9 ASF,Avg ASF
0,1.0925256206070815e-05,1.0989247358512473e-05,1.105980767738933e-05,1.1002422417538513e-05,1.09885120993211e-05,1.0905902995333973e-05,1.0906084099796873e-05,1.0771714335183455e-05,1.0971682253803637e-05,1.0819515230781336e-05,1.0934014467373152e-05
1,1.0990649468249985e-05,1.117082767250803e-05,1.1251045202434933e-05,1.1136601656130663e-05,1.1051646027499115e-05,1.1055976920211362e-05,1.1003539021420757e-05,1.08699493534445e-05,1.1039912106953566e-05,1.0938481625577845e-05,1.1050862905443076e-05
2,1.102184035533957e-05,1.1281946828361744e-05,1.1390231792352925e-05,1.1258258951363944e-05,1.1112231827087518e-05,1.1126502757095922e-05,1.1062644012253311e-05,1.090906058453865e-05,1.1115405735858185e-05,1.0985458688340175e-05,1.1126358153259193e-05
3,1.1038988729190226e-05,1.1354635379438143e-05,1.1481376621537841e-05,1.1299771149453367e-05,1.121096011357942e-05,1.1313646593856887e-05,1.1172566535183989e-05,1.10214069717353e-05,1.1176904710732917e-05,1.1015648732501778e-05,1.1208590553720985e-05
4,1.1084813201030895e-05,1.1449386146123528e-05,1.1641648453726405e-05,1.1396291969099987e-05,1.1361559911079512e-05,1.1390439674651565e-05,1.1221682252611615e-05,1.1126591693813743e-05,1.1254713224713465e-05,1.1090847351249384e-05,1.1301797387810009e-05
5,1.1101468881268172e-05,1.1587691827319629e-05,1.1708049299755471e-05,1.1461202837162405e-05,1.1467319357248627e-05,1.1474125184507404e-05,1.1250279580790065e-05,1.1213972372601797e-05,1.1294880741892904e-05,1.1190361551008348e-05,1.1374935163355482e-05
6,1.1155584769023652e-05,1.1658563404648753e-05,1.1780127509997899e-05,1.1559380716498182e-05,1.153146983976861e-05,1.1583905315775463e-05,1.1293096257317133e-05,1.1283424067173169e-05,1.1360968164251018e-05,1.1303022780131514e-05,1.1450954282458539e-05
7,1.1220162486756767e-05,1.1775446773006642e-05,1.184203123592095e-05,1.1602338623019326e-05,1.1595854807739463e-05,1.1651705413178558e-05,1.1323411189906082e-05,1.134441836320968e-05,1.1406655115489308e-05,1.1399028852899466e-05,1.1516105286112625e-05
8,1.1235471507024612e-05,1.1870197448548373e-05,1.1851194125099946e-05,1.1668958873274534e-05,1.1621288508869624e-05,1.1698322279392037e-05,1.133942247102543e-05,1.1383674817582179e-05,1.1498120515563153e-05,1.1481563640370375e-05,1.1564821418675025e-05
9,1.1303628831802568e-05,1.1976866647573603e-05,1.1884885860844537e-05,1.1703821284304424e-05,1.1646604649727427e-05,1.1741692360935385e-05,1.1377093472581337e-05,1.141620212616869e-05,1.1585802950013984e-05,1.1553238106591257e-05,1.1618983629054321e-05
10,1.138323515492445e-05,1.2048891255395171e-05,1.1914633780310954e-05,1.1734753554660148e-05,1.1710886370601761e-05,1.1792971780543117e-05,1.145081177757177e-05,1.1435305493928136e-05,1.1616336242628997e-05,1.1638904060530908e-05,1.1672672947109542e-05
11,1.140573462866166e-05,1.2102382455825202e-05,1.194128023648885e-05,1.1774337963343816e-05,1.1772026137578979e-05,1.183240526150668e-05,1.148304043693195e-05,1.145755415577429e-05,1.1632368575767064e-05,1.1739845938698706e-05,1.1714097579057719e-05
12,1.1422637019134638e-05,1.2134876267403366e-05,1.1972459158827882e-05,1.1810844002471492e-05,1.1808778391261655e-05,1.1877943231996296e-05,1.1507796759503262e-05,1.1518517303499023e-05,1.1677917697465247e-05,1.1816048754734516e-05,1.1754781858629737e-05
13,1.147904138733523e-05,1.2169105909123141e-05,1.1999492461828405e-05,1.1847976928301891e-05,1.1856519215277726e-05,1.189858714192916e-05,1.158740902994209e-05,1.1550781273883151e-05,1.1684761609011304e-05,1.188169822920535e-05,1.1795537318583745e-05
14,1.1514547365320875e-05,1.2189683646122153e-05,1.2011002438810739e-05,1.1890569141463926e-05,1.1881623173855086e-05,1.1920457043404319e-05,1.1617238591278652e-05,1.1570692677973996e-05,1.171206465181858e-05,1.1914284277453238e-05,1.1822216300750158e-05
15,1.1524973692910935e-05,1.2233096079186663e-05,1.2022667849317757e-05,1.1930689503390717e-05,1.1929621584035949e-05,1.1965813447931957e-05,1.1641977502113117e-05,1.1603270919747362e-05,1.1725286814702199e-05,1.2007343964932434e-05,1.1858474135826909e-05
16,1.1547910581455496e-05,1.2256230167841191e-05,1.202912185800741e-05,1.1953707033599943e-05,1.1966993687515349e-05,1.2003779441050641e-05,1.1693260434280586e-05,1.1643036055388876e-05,1.1734251620438005e-05,1.2072361890328396e-05,1.1890065276990591e-05
17,1.159620147156532e-05,1.2264071390169358e-05,1.2032397398533398e-05,1.1971316736310356e-05,1.2032098840627676e-05,1.2032681755542415e-05,1.175442222578319e-05,1.1668737935809593e-05,1.1748324582677427e-05,1.2146996239330423e-05,1.1924724857634917e-05
18,1.1602951325564166e-05,1.2284817450774009e-05,1.2046820187214128e-05,1.1994832241346812e-05,1.2060683454376636e-05,1.2065272596287054e-05,1.1806587759165953e-05,1.1715133834506391e-05,1.1783814317084114e-05,1.22947179117909e-05,1.1965563107811017e-05
19,1.1632326624916844e-05,1.2306080551719216e-05,1.2057704437287585e-05,1.2014298305831751e-05,1.2093938315196533e-05,1.2083975427222309e-05,1.1869914303876087e-05,1.1743178830750388e-05,1.1794016431753442e-05,1.2390632969289848e-05,1.19986066197844e-05
20,1.1653657287901515e-05,1.232812558111699e-05,1.2066822306575472e-05,1.2039969647154214e-05,1.210333151031568e-05,1.2112756386693622e-05,1.195118747552947e-05,1.1777672254315663e-05,1.1803607704233376e-05,1.2475856025202518e-05,1.2031298617903853e-05
21,1.1682198954827125e-05,1.2340505091281166e-05,1.207948253827479e-05,1.2061711192077608e-05,1.2124662971656561e-05,1.212534399110171e-05,1.2043142564504855e-05,1.1824484376517573e-05,1.1837698657592177e-05,1.2526028076415203e-05,1.2064525841424875e-05
22,1.1706322675138073e-05,1.2347418681016401e-05,1.208979450355644e-05,1.2081762035433736e-05,1.2160019155230349e-05,1.2137154577903956e-05,1.2094774929776716e-05,1.1852780290899676e-05,1.1848334181448528e-05,1.2553297654064187e-05,1.2087165868446807e-05
23,1.1721934053654675e-05,1.236139297369236e-05,1.2112357105830741e-05,1.2098338641090201e-05,1.2173410620485722e-05,1.2160020114119746e-05,1.2127431647471582e-05,1.1861564244223526e-05,1.1891090963743413e-05,1.2562064169077174e-05,1.2106960453338915e-05
24,1.172970310615348e-05,1.2380946946936797e-05,1.2124515509261576e-05,1.2115772208990936e-05,1.2224061417820218e-05,1.2172635033847704e-05,1.2158508624840878e-05,1.1883709597877732e-05,1.1924121768024874e-05,1.257531182670026e-05,1.2128928604045448e-05
25,1.1738493791205308e-05,1.2401097985895844e-05,1.2143556368544113e-05,1.2153858674434732e-05,1.2262810003542107e-05,1.220122554212026e-05,1.2168637843253354e-05,1.1892989258474688e-05,1.1954469240618671e-05,1.258526266418311e-05,1.2150240137227217e-05
26,1.1779035621951036e-05,1.243256114268778e-05,1.2160712939143269e-05,1.2180814912669488e-05,1.2291420111172517e-05,1.222752627384159e-05,1.2182957598868158e-05,1.190798941732319e-05,1.2000568714043495e-05,1.25908808555133e-05,1.2175446758721381e-05
27,1.1805364258543121e-05,1.2456931330337499e-05,1.2176785898409564e-05,1.2215557498631477e-05,1.2312102920547154e-05,1.2256035119798684e-05,1.2194257467744528e-05,1.1930324141499656e-05,1.2034650610713059e-05,1.2596314965791024e-05,1.2197832421201578e-05
28,1.1838717891860435e-05,1.2473543472060353e-05,1.2200199770579868e-05,1.2268663051817217e-05,1.2318163288064667e-05,1.2276390814682558e-05,1.220092257896668e-05,1.1940837061065289e-05,1.2053360090671888e-05,1.2604886767747133e-05,1.2217568478751611e-05
29,1.1860418276846329e-05,1.2513059986686624e-05,1.2210446458291496e-05,1.2297198479906819e-05,1.2339084034002653e-05,1.2300190013047105e-05,1.2216431256619289e-05,1.1978102461365626e-05,1.2084437357834949e-05,1.261155396247787e-05,1.2241092228707876e-05
