,Run # 0 BSF,Avg BSF
0,1.1964731984775459e-05,1.1964731984775459e-05
1,1.1978747708378753e-05,1.1978747708378753e-05
2,1.2169306077199801e-05,1.2169306077199801e-05
3,1.2312023688002038e-05,1.2312023688002038e-05
4,1.2431552356394974e-05,1.2431552356394974e-05
5,1.250780646683961e-05,1.250780646683961e-05
6,1.2618538405210762e-05,1.2618538405210762e-05
7,1.2771519258099125e-05,1.2771519258099125e-05
8,1.2853084694923464e-05,1.2853084694923464e-05
9,1.2897112394272809e-05,1.2897112394272809e-05
10,1.3007555303354917e-05,1.3007555303354917e-05
11,1.303838258988067e-05,1.303838258988067e-05
12,1.3167210842722182e-05,1.3167210842722182e-05
13,1.3167210842722182e-05,1.3167210842722182e-05
14,1.333114094650604e-05,1.333114094650604e-05
15,1.3363804011327134e-05,1.3363804011327134e-05
16,1.3526424239147608e-05,1.3526424239147608e-05
17,1.3526424239147608e-05,1.3526424239147608e-05
18,1.3748250391765577e-05,1.3748250391765577e-05
19,1.3872870205471699e-05,1.3872870205471699e-05
20,1.3932354012110711e-05,1.3932354012110711e-05
21,1.4043989398045513e-05,1.4043989398045513e-05
22,1.4115825590999392e-05,1.4115825590999392e-05
23,1.4262419278429314e-05,1.4262419278429314e-05
24,1.4504968190303607e-05,1.4504968190303607e-05
25,1.458425008923394e-05,1.458425008923394e-05
26,1.4773725219355442e-05,1.4773725219355442e-05
27,1.4805431179975025e-05,1.4805431179975025e-05
28,1.5018513267157206e-05,1.5018513267157206e-05
29,1.5319868749696798e-05,1.5319868749696798e-05
30,1.534656310714863e-05,1.534656310714863e-05
31,1.5410657995070905e-05,1.5410657995070905e-05
32,1.5420515689409643e-05,1.5420515689409643e-05
33,1.55841139555412e-05,1.55841139555412e-05
34,1.5656399199865297e-05,1.5656399199865297e-05
35,1.5663253728351306e-05,1.5663253728351306e-05
36,1.5663253728351306e-05,1.5663253728351306e-05
37,1.5663253728351306e-05,1.5663253728351306e-05
38,1.5773793553194713e-05,1.5773793553194713e-05
39,1.6017877329891765e-05,1.6017877329891765e-05
40,1.6018284890011008e-05,1.6018284890011008e-05
41,1.613056579407487e-05,1.613056579407487e-05
42,1.613056579407487e-05,1.613056579407487e-05
43,1.614476397910959e-05,1.614476397910959e-05
44,1.6214396945050046e-05,1.6214396945050046e-05
45,1.640666426734145e-05,1.640666426734145e-05
46,1.641514182059094e-05,1.641514182059094e-05
47,1.6652452579623588e-05,1.6652452579623588e-05
48,1.6831061312131484e-05,1.6831061312131484e-05
49,1.7038505495078804e-05,1.7038505495078804e-05
50,1.7038505495078804e-05,1.7038505495078804e-05
51,1.713280392482979e-05,1.713280392482979e-05
52,1.7387909281944164e-05,1.7387909281944164e-05
53,1.7387909281944164e-05,1.7387909281944164e-05
54,1.7444187746836684e-05,1.7444187746836684e-05
55,1.7491444516556003e-05,1.7491444516556003e-05
56,1.7739848136935314e-05,1.7739848136935314e-05
57,1.7739848136935314e-05,1.7739848136935314e-05
58,1.7838840486309295e-05,1.7838840486309295e-05
59,1.7874761502703372e-05,1.7874761502703372e-05
60,1.7923363177099614e-05,1.7923363177099614e-05
61,1.8058706492601735e-05,1.8058706492601735e-05
62,1.809451335108512e-05,1.809451335108512e-05
63,1.8238826977838758e-05,1.8238826977838758e-05
64,1.8300800941015972e-05,1.8300800941015972e-05
65,1.849952037275984e-05,1.849952037275984e-05
66,1.859598685285507e-05,1.859598685285507e-05
67,1.859598685285507e-05,1.859598685285507e-05
68,1.8608534173324435e-05,1.8608534173324435e-05
69,1.8719041846003596e-05,1.8719041846003596e-05
70,1.8720837190993786e-05,1.8720837190993786e-05
71,1.8722137890713745e-05,1.8722137890713745e-05
72,1.8758108758712904e-05,1.8758108758712904e-05
73,1.8842598801122514e-05,1.8842598801122514e-05
74,1.88532760980381e-05,1.88532760980381e-05
75,1.9043576258196916e-05,1.9043576258196916e-05
76,1.9043576258196916e-05,1.9043576258196916e-05
77,1.9139983189699103e-05,1.9139983189699103e-05
78,1.9139983189699103e-05,1.9139983189699103e-05
79,1.921289860168245e-05,1.921289860168245e-05
80,1.9299320941864403e-05,1.9299320941864403e-05
81,1.9334213860325297e-05,1.9334213860325297e-05
82,1.94230024840001e-05,1.94230024840001e-05
83,1.9437384128204008e-05,1.9437384128204008e-05
84,1.9437384128204008e-05,1.9437384128204008e-05
85,1.9548812626526772e-05,1.9548812626526772e-05
86,1.9668286725227083e-05,1.9668286725227083e-05
87,1.975370042480502e-05,1.975370042480502e-05
