,Run # 0 ASF,Run # 1 ASF,Run # 2 ASF,Run # 3 ASF,Run # 4 ASF,Run # 5 ASF,Run # 6 ASF,Run # 7 ASF,Run # 8 ASF,Run # 9 ASF,Avg ASF
0,1.0915529550366707e-05,1.1040029074617425e-05,1.0809049826517548e-05,1.0786338863301241e-05,1.108317731012253e-05,1.1064434964166799e-05,1.1040815513904619e-05,1.0629546807544821e-05,1.0889127568514307e-05,1.0682103944897342e-05,1.0894015342395334e-05
1,1.0933877442109996e-05,1.1045673106627122e-05,1.0790757463628036e-05,1.1027237336102846e-05,1.0778700992176975e-05,1.0827180622561504e-05,1.0467718497530588e-05,1.0568917475274262e-05,1.0937482893104122e-05,1.0604302021730456e-05,1.079818478508459e-05
2,1.1020201370191158e-05,1.1102939605667075e-05,1.0878960072107374e-05,1.0986302771731004e-05,1.0779775144562122e-05,1.0966723669881535e-05,1.0475673378603219e-05,1.0651690949162008e-05,1.1033498284440433e-05,1.068679725197089e-05,1.085825624983168e-05
3,1.1003351066884042e-05,1.134293525318872e-05,1.121164769769484e-05,1.0991781310222758e-05,1.0922220421894988e-05,1.0887346710373394e-05,1.0422767874657374e-05,1.0498775745300423e-05,1.1074134118013864e-05,1.058747290727433e-05,1.0894243310550474e-05
4,1.0967306203393841e-05,1.1340966830624627e-05,1.1195581747350933e-05,1.0904368803072357e-05,1.0850160416452421e-05,1.0870759536233671e-05,1.0292173295401726e-05,1.049312397398969e-05,1.1078822553495057e-05,1.0678926012532425e-05,1.0867218937254676e-05
5,1.0946282519811839e-05,1.1282438670757857e-05,1.128345924673019e-05,1.0852607685305341e-05,1.0914932210509758e-05,1.0814564911220135e-05,1.0291298755393646e-05,1.0340486789070219e-05,1.103393968385483e-05,1.0716105267043467e-05,1.0847611573969726e-05
6,1.1018570607449695e-05,1.1161257278095277e-05,1.1286212434071895e-05,1.0969016940708892e-05,1.08477935865163e-05,1.0820696887145604e-05,1.0284684188668184e-05,1.0470465776564734e-05,1.09759900392647e-05,1.0640113054976057e-05,1.0847480079346134e-05
7,1.1016803704024801e-05,1.1127260043134536e-05,1.1283804337457187e-05,1.0956891615693645e-05,1.0893478407157985e-05,1.0823442107573115e-05,1.0267292011301299e-05,1.0418861350900425e-05,1.106423137591529e-05,1.0610307466711095e-05,1.0846237241986938e-05
8,1.1013912436558248e-05,1.1092296133047959e-05,1.1276103810813663e-05,1.0940651274140791e-05,1.0947947569657576e-05,1.0812282599270237e-05,1.0270453097937653e-05,1.032514034786308e-05,1.1094178778759042e-05,1.050712981072149e-05,1.0828009585876975e-05
9,1.0999241300874726e-05,1.109459136603347e-05,1.1335830481439539e-05,1.0952144266375247e-05,1.0984750409071126e-05,1.087329632191073e-05,1.0271751933219432e-05,1.0278439295421505e-05,1.1096861146692812e-05,1.0717315386373497e-05,1.0860422190741209e-05
10,1.1004419671710742e-05,1.1089129031843473e-05,1.1338143931756396e-05,1.0932500205532935e-05,1.093398247055222e-05,1.0980878770642192e-05,1.026776810542893e-05,1.0244968267726003e-05,1.1091222387459038e-05,1.0777825469117923e-05,1.0866083831176986e-05
11,1.1008750489325403e-05,1.1038298153684362e-05,1.1323852089093357e-05,1.0974422379865618e-05,1.0962040578701408e-05,1.0962569523341577e-05,1.030337064044485e-05,1.0303048008543919e-05,1.1081592014400204e-05,1.0647309785343406e-05,1.086052536627441e-05
12,1.1015904881567843e-05,1.103994691399813e-05,1.1345972176616688e-05,1.097610992240219e-05,1.094819894641451e-05,1.0845561070730893e-05,1.0278974052162633e-05,1.026226536796152e-05,1.1093291183352495e-05,1.0628678610891397e-05,1.0843490312609828e-05
