,Run # 0 BSF,Run # 1 BSF,Run # 2 BSF,Run # 3 BSF,Run # 4 BSF,Run # 5 BSF,Run # 6 BSF,Run # 7 BSF,Run # 8 BSF,Run # 9 BSF,Avg BSF
0,1.1166223067539557e-05,1.2054051644958204e-05,1.149164356379178e-05,1.1828484595520596e-05,1.2054034418945448e-05,1.1324475397143117e-05,1.1523511156642708e-05,1.11974006468553e-05,1.1340403112352396e-05,1.1469262516366169e-05,1.1544949012011528e-05
1,1.136156881109293e-05,1.1729965189955785e-05,1.1301760404639453e-05,1.1711415404791728e-05,1.1479817319451976e-05,1.1225487337153981e-05,1.127010801785623e-05,1.1138344367405569e-05,1.1218270395985682e-05,1.1469262516366169e-05,1.1390599976469949e-05
2,1.1343816860450024e-05,1.1729965189955785e-05,1.1301760404639453e-05,1.1633930388318806e-05,1.0915985548120254e-05,1.1225487337153981e-05,1.127010801785623e-05,1.1072246208093445e-05,1.108686910597933e-05,1.1469262516366169e-05,1.1304943157693349e-05
3,1.1343816860450024e-05,1.1729965189955785e-05,1.1301760404639453e-05,1.1165392490675713e-05,1.1189519096751018e-05,1.1225487337153981e-05,1.1307053835874122e-05,1.104654792323998e-05,1.108686910597933e-05,1.1469262516366169e-05,1.1286567476108557e-05
4,1.1240033200146207e-05,1.1729965189955785e-05,1.1304865927755287e-05,1.1598344421842588e-05,1.1189519096751018e-05,1.1033097697928504e-05,1.0373565245051119e-05,1.1129729890421308e-05,1.108686910597933e-05,1.1469262516366169e-05,1.1215525229219733e-05
5,1.1018570607449686e-05,1.1890806036924456e-05,1.1384969398821349e-05,1.1599771450266788e-05,1.1189519096751018e-05,1.1044304207145576e-05,1.0415759929770391e-05,1.1129729890421308e-05,1.1236236094907956e-05,1.1206888856893661e-05,1.121165555693522e-05
6,1.1018570607449686e-05,1.1450248241471179e-05,1.1384969398821349e-05,1.105868579685586e-05,1.1264062275464407e-05,1.11287724617005e-05,1.0415759929770391e-05,1.082874316537469e-05,1.1095702750508883e-05,1.102157599366867e-05,1.1066709062108562e-05
7,1.1032464552392258e-05,1.1499114751487637e-05,1.1418199179726408e-05,1.1006530352030067e-05,1.1264062275464407e-05,1.1148468001793373e-05,1.029391858608722e-05,1.082874316537469e-05,1.1095702750508883e-05,1.102157599366867e-05,1.106087796085336e-05
8,1.1031552356002411e-05,1.1499114751487637e-05,1.1418199179726408e-05,1.0956593376146058e-05,1.1264062275464407e-05,1.1146400990504857e-05,1.0333590937035337e-05,1.074334097578034e-05,1.1126349786391156e-05,1.102157599366867e-05,1.1054078062220727e-05
9,1.1031552356002411e-05,1.1280069379180446e-05,1.1446317706993411e-05,1.1110401887330324e-05,1.1264062275464407e-05,1.1098060233214446e-05,1.0340067973372773e-05,1.0421138233775145e-05,1.1147386420525513e-05,1.1130543636938194e-05,1.1026960010279707e-05
