,Run # 0 ASF,Run # 1 ASF,Run # 2 ASF,Run # 3 ASF,Run # 4 ASF,Run # 5 ASF,Run # 6 ASF,Run # 7 ASF,Run # 8 ASF,Run # 9 ASF,Avg ASF
0,1.0919008045365398e-05,1.0885600950793946e-05,1.0749184608094058e-05,1.0870368405376581e-05,1.0904296921399793e-05,1.1016083487150974e-05,1.0854464762704066e-05,1.0918927267802909e-05,1.0941870421562462e-05,1.0736992767813083e-05,1.0879679763806327e-05
1,1.0970621208678234e-05,1.0997172467338355e-05,1.0848258607582026e-05,1.0949100506307942e-05,1.098661868615064e-05,1.111985031306201e-05,1.093657114259716e-05,1.1010013530450521e-05,1.104449588400102e-05,1.0827065002230798e-05,1.096897673483987e-05
2,1.1067091594136727e-05,1.108690113884057e-05,1.0919108614742402e-05,1.1030139849258038e-05,1.1054490869284237e-05,1.1159698027918444e-05,1.0991164105469458e-05,1.1113107314958164e-05,1.1101993999664514e-05,1.0902672718282303e-05,1.1042636823255486e-05
3,1.115444422311064e-05,1.1189918353810118e-05,1.1011989002564667e-05,1.1091770856657733e-05,1.1091465770646664e-05,1.1272633941527192e-05,1.1048422295618745e-05,1.124408125550051e-05,1.1155178216510902e-05,1.1022139842539687e-05,1.1128204375848685e-05
4,1.1190020515752035e-05,1.123770714589988e-05,1.1118007348995587e-05,1.1115443236046532e-05,1.1173219256052924e-05,1.1323622526995888e-05,1.1141707513596936e-05,1.134308408040743e-05,1.1253269570175176e-05,1.1139323194156565e-05,1.1203540438807895e-05
5,1.1221851406562495e-05,1.1304950145955142e-05,1.1158953608424243e-05,1.122651235957171e-05,1.1234660968049203e-05,1.1417396218481845e-05,1.1222138195864612e-05,1.145866214403765e-05,1.1330371599673602e-05,1.1206562832530493e-05,1.1278205947915098e-05
6,1.1265648348951703e-05,1.1340155909983262e-05,1.1221705166052727e-05,1.1262301176970526e-05,1.12964151538987e-05,1.1507940220442266e-05,1.1311851890853077e-05,1.150840027476034e-05,1.1379511827587788e-05,1.1248046466881544e-05,1.1334197643638193e-05
7,1.1318644853462878e-05,1.1382064800317492e-05,1.1291257713813617e-05,1.1341301394292831e-05,1.1350217921970476e-05,1.1557757580926773e-05,1.136507216536013e-05,1.1530768729038084e-05,1.144210785799097e-05,1.13283011681585e-05,1.1390749418533175e-05
8,1.1353589446816887e-05,1.144433131517066e-05,1.1369468738158383e-05,1.145195743237456e-05,1.1408015047867e-05,1.1629000635945293e-05,1.1471711948658225e-05,1.1557462130505997e-05,1.1487317632883105e-05,1.141177645942927e-05,1.1458463078780938e-05
9,1.1359494616744998e-05,1.1534987932436262e-05,1.1406128160354625e-05,1.15331198781105e-05,1.1472478718352268e-05,1.1704892332760878e-05,1.1506761948047841e-05,1.1609624582217375e-05,1.155319555027219e-05,1.1475204814045467e-05,1.151558885333424e-05
10,1.1379806089482269e-05,1.1588352726530004e-05,1.1439336854906053e-05,1.1607975481962885e-05,1.1499236138642304e-05,1.1756916112359603e-05,1.1513093724217613e-05,1.1644071239124565e-05,1.1590366469688763e-05,1.1552741688040034e-05,1.1557189652495409e-05
11,1.1413570106831754e-05,1.163570669441715e-05,1.1495550178752772e-05,1.167910470643821e-05,1.1579800008563658e-05,1.1826483773951584e-05,1.16095025820821e-05,1.1654542040073335e-05,1.1669689302817154e-05,1.1620365204707576e-05,1.161843145986353e-05
12,1.1475358714196362e-05,1.1638283286943414e-05,1.1527270363285108e-05,1.1731872200815291e-05,1.1609597091163745e-05,1.1891434923559173e-05,1.1715297897489858e-05,1.1673635902655936e-05,1.1716802598065442e-05,1.1680740346673752e-05,1.1666029332484808e-05
13,1.1486363280773024e-05,1.1668456820618386e-05,1.15906170974139e-05,1.1788486366732062e-05,1.16723114424525e-05,1.1916036439845562e-05,1.1759222000156473e-05,1.173464148245472e-05,1.1756140521452117e-05,1.173221337286265e-05,1.1710448882476138e-05
14,1.1498969306936706e-05,1.1725685378927025e-05,1.1626345956598848e-05,1.1840720859280766e-05,1.1734660283696239e-05,1.1986237299607935e-05,1.183893224928914e-05,1.1750901220962177e-05,1.1829718170841676e-05,1.1761943929452112e-05,1.1759411465559262e-05
