,Run # 0 ASF,Run # 1 ASF,Run # 2 ASF,Run # 3 ASF,Run # 4 ASF,Run # 5 ASF,Run # 6 ASF,Run # 7 ASF,Run # 8 ASF,Run # 9 ASF,Avg ASF
0,1.1511918843224231e-05,1.1702113780038787e-05,1.1468201935471246e-05,1.15853217582166e-05,1.1314788698417131e-05,1.1539684560272708e-05,1.1243501962682607e-05,1.1322582447372885e-05,1.1485064578148453e-05,1.1442451939514138e-05,1.1461563050335877e-05
1,1.1783819130282411e-05,1.1814923448237017e-05,1.1812532733412205e-05,1.2135483919599572e-05,1.1461296224129923e-05,1.1593405337967259e-05,1.127499333966113e-05,1.1567778499440454e-05,1.1865092760834122e-05,1.1487762569442808e-05,1.167970879630069e-05
2,1.188128526993805e-05,1.1880978990101838e-05,1.1976710801766979e-05,1.213917764922185e-05,1.1871791154812694e-05,1.1639069469173935e-05,1.1282991717007438e-05,1.1922115657569116e-05,1.1978910746819894e-05,1.1529703558358792e-05,1.181027350147706e-05
3,1.196574080167749e-05,1.1968059627602233e-05,1.20971556438025e-05,1.215797580811166e-05,1.191665384935206e-05,1.1841286689208811e-05,1.1293502415501072e-05,1.2154459201912314e-05,1.2092936162471345e-05,1.1723514672253413e-05,1.192112848718929e-05
4,1.2032040592129375e-05,1.203097453726434e-05,1.2269590662583239e-05,1.2217738765087133e-05,1.196970906680348e-05,1.1856462241256408e-05,1.1360023167780011e-05,1.2159829905005157e-05,1.2150498722193245e-05,1.1775438781545765e-05,1.1982230644164817e-05
5,1.2089950432571799e-05,1.2083866143759284e-05,1.227964906898057e-05,1.2323983475313615e-05,1.2109985502109249e-05,1.1899996268301835e-05,1.1383456556100408e-05,1.218671050931393e-05,1.2157314153400075e-05,1.1955256979549629e-05,1.204701690894004e-05
6,1.225769408626599e-05,1.2137498646893458e-05,1.2356865429662903e-05,1.2335758405773803e-05,1.2136761268974666e-05,1.196189098294489e-05,1.1482059657284874e-05,1.2235286580394056e-05,1.2188127401151536e-05,1.196212869456374e-05,1.2105407115390992e-05
7,1.2341963212540596e-05,1.2181812023652745e-05,1.2422387928019252e-05,1.239708202656264e-05,1.219728440807226e-05,1.2014265711151914e-05,1.149974151679678e-05,1.2243317253393826e-05,1.2330827316039515e-05,1.1981166178776536e-05,1.2160984757500606e-05
8,1.2386183544601392e-05,1.2205118530949518e-05,1.2435246537548767e-05,1.2656511517541322e-05,1.2222212637721427e-05,1.2050068116389245e-05,1.1563799541096647e-05,1.2268905275672476e-05,1.242632352806907e-05,1.2068421754206839e-05,1.222827909837967e-05
9,1.2451359734922921e-05,1.2214849053616428e-05,1.2441232606721948e-05,1.2913465717887606e-05,1.222268446561593e-05,1.210427549216212e-05,1.1617308104647871e-05,1.2282299164573516e-05,1.2469376732686876e-05,1.2162487106103213e-05,1.2287933817893843e-05
10,1.2557438450725784e-05,1.2228840562967858e-05,1.2519267324635892e-05,1.3060887618277651e-05,1.2372675381689559e-05,1.224443842458018e-05,1.1627299129697961e-05,1.2337405054327262e-05,1.2882952233507323e-05,1.2259186925104629e-05,1.2409039110551409e-05
11,1.2572824472880656e-05,1.2240937577944403e-05,1.2551929624024929e-05,1.3116314246328757e-05,1.2531955381008352e-05,1.2305665495650412e-05,1.1641091187046442e-05,1.241306328756513e-05,1.2899816142017556e-05,1.2376625268421745e-05,1.2465022268288837e-05
12,1.2682757375092444e-05,1.2289947296464836e-05,1.2716050868532205e-05,1.3170117382129598e-05,1.2664534741711207e-05,1.2457596680718768e-05,1.1664984891047548e-05,1.2521088567135452e-05,1.2927651877015748e-05,1.2442780127003162e-05,1.2553750980685098e-05
13,1.2711298672274517e-05,1.2341211576465169e-05,1.2737596374674982e-05,1.3233703387524251e-05,1.2687710607763908e-05,1.2469057398072483e-05,1.1738172788751045e-05,1.2521088567135452e-05,1.298972758640263e-05,1.2470409150087e-05,1.2589997610915144e-05
14,1.280196768515356e-05,1.2369244647014427e-05,1.2827893064990008e-05,1.3292443394275932e-05,1.2692367240490733e-05,1.2504134340981913e-05,1.1893829932652507e-05,1.2521088567135452e-05,1.3081886433178307e-05,1.2474066937111815e-05,1.2645892224298465e-05
15,1.285537109641832e-05,1.237105976419181e-05,1.2923159703424382e-05,1.3313924600057126e-05,1.270168512440539e-05,1.251644494833749e-05,1.1966052689290231e-05,1.2546230902538417e-05,1.3088930498688445e-05,1.2498666608592295e-05,1.267815259359439e-05
