,Run # 0 BSF,Run # 1 BSF,Run # 2 BSF,Run # 3 BSF,Run # 4 BSF,Run # 5 BSF,Run # 6 BSF,Run # 7 BSF,Run # 8 BSF,Run # 9 BSF,Avg BSF
0,1.175839073973056e-05,1.1823252581700506e-05,1.1671015460756582e-05,1.2135483919599572e-05,1.1376876384283507e-05,1.1591637150576778e-05,1.1260959287745988e-05,1.1537775286240422e-05,1.18544848779311e-05,1.1487438373673154e-05,1.1649731406223818e-05
1,1.180372421873117e-05,1.1823252581700506e-05,1.1896945283278092e-05,1.2135483919599572e-05,1.1737939545175492e-05,1.161815996143397e-05,1.1282991717007432e-05,1.2154749016292492e-05,1.1960563706961319e-05,1.1488209535763432e-05,1.1790201948594348e-05
2,1.195349238234435e-05,1.1948202315375366e-05,1.2105383612539883e-05,1.2158411454691357e-05,1.190523563153652e-05,1.1856462241256407e-05,1.1282991717007432e-05,1.2154749016292492e-05,1.2098166505900673e-05,1.1730172783464976e-05,1.1919326766040945e-05
3,1.2014734479010039e-05,1.2038150772163206e-05,1.2105383612539883e-05,1.2160228733482986e-05,1.1925357202768471e-05,1.1856462241256407e-05,1.1383456556100411e-05,1.2154749016292492e-05,1.2157314153400084e-05,1.1730172783464976e-05,1.1952600955047896e-05
4,1.2076786405692562e-05,1.203966196286359e-05,1.2279649068980579e-05,1.2241930319669605e-05,1.2036566327925082e-05,1.1856462241256407e-05,1.1383456556100411e-05,1.2171685312001357e-05,1.2157314153400084e-05,1.1853625505503486e-05,1.2009713785339316e-05
5,1.2274246808881187e-05,1.210659818078004e-05,1.2279649068980579e-05,1.2335758405773795e-05,1.2115293963058506e-05,1.1956929296380243e-05,1.1383456556100411e-05,1.2235286580394061e-05,1.2157314153400084e-05,1.1956858177813641e-05,1.2080139119156255e-05
6,1.2274246808881187e-05,1.2176109518935441e-05,1.2376169519833487e-05,1.2335758405773795e-05,1.222174080982693e-05,1.200654616202673e-05,1.1485459764222268e-05,1.2235286580394061e-05,1.2311380392157382e-05,1.1980661187920103e-05,1.2140335914997138e-05
7,1.237269708609524e-05,1.2205118530949515e-05,1.2435246537548758e-05,1.2642376509717994e-05,1.222174080982693e-05,1.2090127055368404e-05,1.1606027289639416e-05,1.2270905271731073e-05,1.2428061935450213e-05,1.199581091361323e-05,1.2226811193994077e-05
8,1.2415374256160919e-05,1.2205118530949515e-05,1.2435246537548758e-05,1.2825043594379048e-05,1.223589564666199e-05,1.2090127055368404e-05,1.1606580574054415e-05,1.2277616876811168e-05,1.2428061935450213e-05,1.2162487106103213e-05,1.2268155211348767e-05
9,1.2557438450725788e-05,1.2228840562967863e-05,1.2465176883414664e-05,1.3050599063972464e-05,1.223589564666199e-05,1.2261472434011196e-05,1.162729912969797e-05,1.2305710603385205e-05,1.2737922914725238e-05,1.2162487106103213e-05,1.236328427956656e-05
