,Run # 0 ASF,Run # 1 ASF,Run # 2 ASF,Run # 3 ASF,Run # 4 ASF,Run # 5 ASF,Run # 6 ASF,Run # 7 ASF,Run # 8 ASF,Run # 9 ASF,Avg ASF
0,1.0996128472568617e-05,1.1087120727048142e-05,1.089041676046975e-05,1.1057351594931142e-05,1.1018338002931674e-05,1.0977076327200137e-05,1.1120122683091681e-05,1.1003273354278565e-05,1.1085804910201125e-05,1.1099541134522205e-05,1.1033517396724302e-05
1,1.1172065846672921e-05,1.1279958878234989e-05,1.1057619479222125e-05,1.1319002393534936e-05,1.1191039346777357e-05,1.1176361722354368e-05,1.1337743252516862e-05,1.1259439152099398e-05,1.1316783849673369e-05,1.1379736255759639e-05,1.1248975017684598e-05
2,1.135301818364153e-05,1.1483076858664933e-05,1.1204693117470578e-05,1.156280716228277e-05,1.1321076327984696e-05,1.1295828367872705e-05,1.1578389963668695e-05,1.1432368498624605e-05,1.1516251728017647e-05,1.1663474955984e-05,1.1441098516421215e-05
3,1.1532812654336247e-05,1.170783497107158e-05,1.1307164916302025e-05,1.175941693736743e-05,1.143663576924379e-05,1.1359483369290992e-05,1.1706156760635412e-05,1.1635099370606446e-05,1.16948754049691e-05,1.1821382782447928e-05,1.1596086293627096e-05
4,1.1669565354879097e-05,1.1852341480254297e-05,1.1396434898277822e-05,1.1821532442968827e-05,1.1554202725684421e-05,1.1413473779605538e-05,1.1831860198519068e-05,1.1799961713414522e-05,1.1832245522587509e-05,1.1907148844830356e-05,1.1707876696102147e-05
5,1.177540665268739e-05,1.1945335641489745e-05,1.1491549683887179e-05,1.1864086242589952e-05,1.1679122184780762e-05,1.1463678532348864e-05,1.193575215010412e-05,1.1979183851387626e-05,1.1924050489439503e-05,1.1968562093033756e-05,1.1802672752174891e-05
6,1.1866574597584419e-05,1.2012337385222475e-05,1.1573293809042875e-05,1.1904919328530538e-05,1.1831471797958805e-05,1.1472559627319826e-05,1.2030529775924884e-05,1.2068177285875313e-05,1.1955141356600533e-05,1.2006980197488024e-05,1.1872198516154769e-05
7,1.19475475339304e-05,1.2084484529223855e-05,1.163114497753138e-05,1.1947719297021235e-05,1.2035751087204978e-05,1.1494595750139049e-05,1.2144957706349608e-05,1.212688726591376e-05,1.1972443558751028e-05,1.2035265021997533e-05,1.1942079672806281e-05
8,1.2009073667382981e-05,1.2153143620580029e-05,1.1661709684507159e-05,1.1977965252062238e-05,1.2243668247626621e-05,1.1510188761319556e-05,1.225403052042591e-05,1.2183083217754096e-05,1.198611566856664e-05,1.2054337328941954e-05,1.2003331596916717e-05
9,1.2077101375290542e-05,1.2197215454299572e-05,1.1697677939854931e-05,1.2004809452780046e-05,1.2384412978640862e-05,1.1534572792424812e-05,1.2327614234730936e-05,1.2233471946222418e-05,1.2002178178759287e-05,1.2089895282954064e-05,1.2054894963595749e-05
10,1.2128816906524933e-05,1.2233864870553053e-05,1.1738452679034597e-05,1.2028313161537134e-05,1.2439843476299704e-05,1.155374841238207e-05,1.2402837584127502e-05,1.2313666126112158e-05,1.201764825069852e-05,1.2110083141492256e-05,1.2096727460876194e-05
11,1.2151747623713498e-05,1.2296043699400063e-05,1.1795019512667574e-05,1.2052378112780365e-05,1.2470998185103027e-05,1.1588627385818229e-05,1.2459871667954534e-05,1.238782809576776e-05,1.2052235386553931e-05,1.2147162939456279e-05,1.2140191260921528e-05
12,1.2175261304935842e-05,1.2348385231410107e-05,1.1833601354418334e-05,1.2073059929913738e-05,1.2484691036263035e-05,1.1643288290403487e-05,1.2509648613683298e-05,1.2452741565855345e-05,1.2098774375826537e-05,1.2184752099146483e-05,1.2180420380185623e-05
13,1.2222334150105964e-05,1.23936592109513e-05,1.1864802472687638e-05,1.2089825053376809e-05,1.2499827089447261e-05,1.1708222027328025e-05,1.2554965357044667e-05,1.2517499099789028e-05,1.2144596766472206e-05,1.221148067415661e-05,1.2220721190135951e-05
14,1.2280454094067777e-05,1.2434148112678082e-05,1.189046187018174e-05,1.2107219700627184e-05,1.2515934063895517e-05,1.1787595739165998e-05,1.261510532072106e-05,1.2595816251695445e-05,1.2175140787738533e-05,1.2222538894489133e-05,1.2262441483526046e-05
15,1.2331645573473008e-05,1.2477649530652504e-05,1.192859039968805e-05,1.2131640991070206e-05,1.2530589397065329e-05,1.1848015816507416e-05,1.2673955301104888e-05,1.2669376101934425e-05,1.2206257950090154e-05,1.2227962616674683e-05,1.2302568367826067e-05
16,1.2367642769336424e-05,1.2527082471984917e-05,1.197968897739274e-05,1.2162262892895173e-05,1.2543159093637634e-05,1.1896771446346255e-05,1.2730761186055398e-05,1.274809322201827e-05,1.2225830788333001e-05,1.2244553363550716e-05,1.2342584621155051e-05
17,1.2435735235723778e-05,1.2570702655211998e-05,1.2021607540800943e-05,1.2176870893478183e-05,1.2553615929954602e-05,1.1936604702244072e-05,1.2777511350675133e-05,1.281349186515225e-05,1.2251575994148584e-05,1.2259737511543294e-05,1.2379745367893283e-05
18,1.2498261539147303e-05,1.2613598293587254e-05,1.205750797912071e-05,1.2199604551061108e-05,1.257111571817473e-05,1.1983866872651427e-05,1.2851574936387745e-05,1.2862444334291523e-05,1.2282623020623985e-05,1.227483846727894e-05,1.2419543571232473e-05
19,1.2573738752843873e-05,1.2656326433474295e-05,1.210095308498819e-05,1.2218707300351975e-05,1.2599860762510121e-05,1.2031286636898201e-05,1.2934660229096788e-05,1.2920780651115242e-05,1.2323895514057438e-05,1.2320378059550305e-05,1.2468058742488643e-05
20,1.2648296850365132e-05,1.2694836684948828e-05,1.2150604314729516e-05,1.2235248371108244e-05,1.2628971754374378e-05,1.2054333244480073e-05,1.3014716374662811e-05,1.298764985038295e-05,1.2351012593380524e-05,1.2378480769607889e-05,1.2514415080804034e-05
21,1.2712968397344898e-05,1.2715493987443108e-05,1.2193094874646684e-05,1.2258393731971928e-05,1.2673222708559279e-05,1.2090306961454196e-05,1.307455550984088e-05,1.3047541779038022e-05,1.2385922904662394e-05,1.243266114105512e-05,1.2558416199601652e-05
22,1.2746962467145234e-05,1.2741815765805801e-05,1.2231160957275232e-05,1.2289197546286397e-05,1.2706244715542582e-05,1.2110214047055451e-05,1.3128372062256091e-05,1.3086689558460223e-05,1.241971679490625e-05,1.2497844678872468e-05,1.2595821859360571e-05
23,1.2776824727263585e-05,1.2759766434769152e-05,1.226451527782473e-05,1.2338803784125138e-05,1.2736543502999276e-05,1.2122606195302634e-05,1.3170923145366386e-05,1.3121559549223911e-05,1.2451813961086073e-05,1.2579168166782636e-05,1.2632252474474353e-05
24,1.2842232693328815e-05,1.2782320526931168e-05,1.2318659201701366e-05,1.2413467839622887e-05,1.2782346699768894e-05,1.2131496695500526e-05,1.3221639316857576e-05,1.3133761078427024e-05,1.2502990793867072e-05,1.2683341844514032e-05,1.2681225669051936e-05
25,1.2910276823162771e-05,1.2824578723042578e-05,1.2367254508177153e-05,1.2487797946411909e-05,1.2829228165811659e-05,1.2135323633784292e-05,1.328014805319351e-05,1.3155403954614205e-05,1.2541785801912332e-05,1.2802332098189523e-05,1.2733412970829993e-05
26,1.2971593192595508e-05,1.2863623155961322e-05,1.2403268208182324e-05,1.2539344955515708e-05,1.2896996761397369e-05,1.2145866527797116e-05,1.3332504839045368e-05,1.3176607904363606e-05,1.2583201168993211e-05,1.2948351253635841e-05,1.2786135796748737e-05
27,1.3039237902420218e-05,1.2898358877403493e-05,1.24288230202326e-05,1.2578042848913955e-05,1.2974373977354116e-05,1.2154415710341472e-05,1.3401671363626941e-05,1.3195559157325691e-05,1.2605679851408951e-05,1.304987713024396e-05,1.283260398392714e-05
28,1.3114625642072724e-05,1.2929377589467713e-05,1.2463650929553776e-05,1.2624640983435085e-05,1.3037735134367555e-05,1.2164479217784367e-05,1.3454607734402516e-05,1.3206153413278826e-05,1.2620730458130155e-05,1.3151594718323944e-05,1.2876759582081666e-05
