,Run # 0 BSF,Run # 1 BSF,Run # 2 BSF,Run # 3 BSF,Run # 4 BSF,Run # 5 BSF,Run # 6 BSF,Run # 7 BSF,Run # 8 BSF,Run # 9 BSF,Avg BSF
0,1.1731026397156445e-05,1.183876839739449e-05,1.1379149450429109e-05,1.1818462267175308e-05,1.1833282652545871e-05,1.1484434897446e-05,1.2058084091807443e-05,1.1881350818585672e-05,1.1960522025519443e-05,1.2030261033311448e-05,1.1801534203137124e-05
1,1.173894513226451e-05,1.1956343836986315e-05,1.1590185154664317e-05,1.1818462267175308e-05,1.1833282652545871e-05,1.1484434897446e-05,1.2058084091807443e-05,1.2043621152764818e-05,1.1960810619920874e-05,1.2030261033311448e-05,1.1851443083888692e-05
2,1.1904385546567186e-05,1.1956343836986315e-05,1.1590185154664317e-05,1.1884181592543923e-05,1.1833282652545871e-05,1.1484434897446e-05,1.2381117764276292e-05,1.2043621152764818e-05,1.207819036082029e-05,1.2030261033311448e-05,1.1918600399192647e-05
3,1.1904385546567186e-05,1.2250503654262115e-05,1.1649635701626887e-05,1.2063563070553385e-05,1.190869093512619e-05,1.1534215802072758e-05,1.2381117764276292e-05,1.2131403678012475e-05,1.207819036082029e-05,1.2030261033311448e-05,1.1993196754662903e-05
4,1.2083497081127254e-05,1.2250503654262115e-05,1.1649635701626887e-05,1.2063563070553385e-05,1.241192396948337e-05,1.1534215802072758e-05,1.2381117764276292e-05,1.2179722066190261e-05,1.207819036082029e-05,1.2030261033311448e-05,1.2066263050372406e-05
5,1.2083497081127254e-05,1.2250503654262115e-05,1.166482935385143e-05,1.2063563070553385e-05,1.241192396948337e-05,1.158609205874445e-05,1.2478167440419241e-05,1.2179722066190261e-05,1.207819036082029e-05,1.2061912075304483e-05,1.2085840113075629e-05
6,1.2129900684393418e-05,1.2250503654262115e-05,1.166482935385143e-05,1.2063563070553385e-05,1.241192396948337e-05,1.158609205874445e-05,1.2478167440419241e-05,1.2355895983257932e-05,1.207819036082029e-05,1.2138829036455518e-05,1.2115789561224114e-05
7,1.2133343587696203e-05,1.2292263089632643e-05,1.1836085979440747e-05,1.2063563070553385e-05,1.2511255085174655e-05,1.162399989547468e-05,1.2478167440419241e-05,1.2355895983257932e-05,1.2126592708086789e-05,1.222020653535093e-05,1.216413733750872e-05
8,1.2162960608956407e-05,1.2341474736222052e-05,1.1836085979440747e-05,1.2226426373652787e-05,1.2515471317542015e-05,1.162399989547468e-05,1.2659251934342586e-05,1.23593361291005e-05,1.2126592708086789e-05,1.222020653535093e-05,1.220718062181695e-05
9,1.2260563017555178e-05,1.2358500026026174e-05,1.1846806503458955e-05,1.2226426373652787e-05,1.2530692444997505e-05,1.171335020235991e-05,1.2659251934342586e-05,1.2378293004451188e-05,1.226788422650811e-05,1.222802058611055e-05,1.2246978831946292e-05
10,1.231242437779644e-05,1.238731992114837e-05,1.1922678576292801e-05,1.2226426373652787e-05,1.2550928817372744e-05,1.171335020235991e-05,1.2659251934342586e-05,1.2626028038204604e-05,1.226788422650811e-05,1.222802058611055e-05,1.2289431305378889e-05
11,1.231242437779644e-05,1.2556044817695477e-05,1.1953687655062335e-05,1.2226426373652787e-05,1.2584571895637253e-05,1.1792931416883238e-05,1.2743660529773798e-05,1.2801830983895796e-05,1.226788422650811e-05,1.237668808319397e-05,1.2361615036009922e-05
