,Run # 0 ASF,Avg ASF
0,1.1964731984775464e-05,1.1964731984775464e-05
1,1.1978747708378756e-05,1.1978747708378756e-05
2,1.201089191137883e-05,1.201089191137883e-05
3,1.231202368800203e-05,1.231202368800203e-05
4,1.2431552356394974e-05,1.2431552356394974e-05
5,1.2506040232600475e-05,1.2506040232600475e-05
6,1.2610534378280744e-05,1.2610534378280744e-05
7,1.265882809874524e-05,1.265882809874524e-05
8,1.2853084694923457e-05,1.2853084694923457e-05
9,1.2882978174633894e-05,1.2882978174633894e-05
10,1.3007555303354924e-05,1.3007555303354924e-05
11,1.3025492493998684e-05,1.3025492493998684e-05
12,1.3089733319065093e-05,1.3089733319065093e-05
13,1.3167210842722189e-05,1.3167210842722189e-05
14,1.3225020386003105e-05,1.3225020386003105e-05
15,1.3363804011327143e-05,1.3363804011327143e-05
16,1.3386522342116063e-05,1.3386522342116063e-05
17,1.3526424239147605e-05,1.3526424239147605e-05
18,1.3710131788833077e-05,1.3710131788833077e-05
19,1.3872870205471704e-05,1.3872870205471704e-05
20,1.392640563144682e-05,1.392640563144682e-05
21,1.4043989398045518e-05,1.4043989398045518e-05
22,1.4089443738214506e-05,1.4089443738214506e-05
23,1.4237293581502803e-05,1.4237293581502803e-05
24,1.446504527754574e-05,1.446504527754574e-05
25,1.4534038219911397e-05,1.4534038219911397e-05
26,1.4697366829479504e-05,1.4697366829479504e-05
27,1.4775838950063408e-05,1.4775838950063408e-05
28,1.4976196499837049e-05,1.4976196499837049e-05
29,1.5267985664901276e-05,1.5267985664901276e-05
30,1.5346350907876295e-05,1.5346350907876295e-05
31,1.540120947016146e-05,1.540120947016146e-05
32,1.541601087113858e-05,1.541601087113858e-05
33,1.5478401703296342e-05,1.5478401703296342e-05
34,1.5646761167288743e-05,1.5646761167288743e-05
35,1.566096888552264e-05,1.566096888552264e-05
36,1.566325372835132e-05,1.566325372835132e-05
37,1.566325372835132e-05,1.566325372835132e-05
38,1.5755370249054137e-05,1.5755370249054137e-05
39,1.601787732989178e-05,1.601787732989178e-05
40,1.60179180859037e-05,1.60179180859037e-05
41,1.6066878239129232e-05,1.6066878239129232e-05
42,1.6130565794074877e-05,1.6130565794074877e-05
43,1.61438174334406e-05,1.61438174334406e-05
44,1.6178293555929084e-05,1.6178293555929084e-05
45,1.6383093529711285e-05,1.6383093529711285e-05
46,1.6410545725039354e-05,1.6410545725039354e-05
47,1.6506770466297642e-05,1.6506770466297642e-05
48,1.6831061312131494e-05,1.6831061312131494e-05
49,1.688018703287999e-05,1.688018703287999e-05
50,1.703451393532485e-05,1.703451393532485e-05
51,1.71045143959045e-05,1.71045143959045e-05
52,1.7169033256668803e-05,1.7169033256668803e-05
53,1.7387909281944167e-05,1.7387909281944167e-05
54,1.7444187746836674e-05,1.7444187746836674e-05
55,1.7491444516556003e-05,1.7491444516556003e-05
56,1.7511333651075273e-05,1.7511333651075273e-05
57,1.773984813693531e-05,1.773984813693531e-05
58,1.7817656190085276e-05,1.7817656190085276e-05
59,1.7863635989126406e-05,1.7863635989126406e-05
60,1.7891414227397065e-05,1.7891414227397065e-05
61,1.8046507561612297e-05,1.8046507561612297e-05
62,1.8077803483792873e-05,1.8077803483792873e-05
63,1.8185911981362423e-05,1.8185911981362423e-05
64,1.829542830428314e-05,1.829542830428314e-05
65,1.84872719737272e-05,1.84872719737272e-05
66,1.8509167020769365e-05,1.8509167020769365e-05
67,1.8595986852855067e-05,1.8595986852855067e-05
68,1.859640509687071e-05,1.859640509687071e-05
69,1.8719041846003596e-05,1.8719041846003596e-05
70,1.8720178897830716e-05,1.8720178897830716e-05
71,1.8721877750769755e-05,1.8721877750769755e-05
72,1.875810875871289e-05,1.875810875871289e-05
73,1.8782904345881158e-05,1.8782904345881158e-05
74,1.885327609803809e-05,1.885327609803809e-05
75,1.8989128640045407e-05,1.8989128640045407e-05
76,1.902814841905061e-05,1.902814841905061e-05
77,1.9135507504584123e-05,1.9135507504584123e-05
78,1.9139983189699093e-05,1.9139983189699093e-05
79,1.9149705244630208e-05,1.9149705244630208e-05
80,1.929067870784621e-05,1.929067870784621e-05
81,1.9333050763043267e-05,1.9333050763043267e-05
82,1.9387871521025028e-05,1.9387871521025028e-05
83,1.9437384128204004e-05,1.9437384128204004e-05
84,1.9437384128204004e-05,1.9437384128204004e-05
85,1.9548812626526775e-05,1.9548812626526775e-05
86,1.965485036486762e-05,1.965485036486762e-05
87,1.9676828095184868e-05,1.9676828095184868e-05
88,1.9753700424805024e-05,1.9753700424805024e-05
89,1.9754019628473266e-05,1.9754019628473266e-05
90,1.9753700424805024e-05,1.9753700424805024e-05
91,1.9786393971571326e-05,1.9786393971571326e-05
92,1.9855843410258228e-05,1.9855843410258228e-05
93,1.9851553756363298e-05,1.9851553756363298e-05
94,1.986867856290518e-05,1.986867856290518e-05
95,1.992045678534971e-05,1.992045678534971e-05
96,2.0088070635388914e-05,2.0088070635388914e-05
97,2.015856469201776e-05,2.015856469201776e-05
98,2.034605114660541e-05,2.034605114660541e-05
99,2.034605114660541e-05,2.034605114660541e-05
100,2.051849482642552e-05,2.051849482642552e-05
101,2.0519247729040553e-05,2.0519247729040553e-05
102,2.0564430910809718e-05,2.0564430910809718e-05
103,2.0686733714102558e-05,2.0686733714102558e-05
104,2.073292862877936e-05,2.073292862877936e-05
105,2.0815453495846547e-05,2.0815453495846547e-05
106,2.0867706113115304e-05,2.0867706113115304e-05
107,2.0949756662562155e-05,2.0949756662562155e-05
108,2.106929598736718e-05,2.106929598736718e-05
109,2.107287149659035e-05,2.107287149659035e-05
110,2.1087376811808372e-05,2.1087376811808372e-05
111,2.115820693997742e-05,2.115820693997742e-05
112,2.1191295049970798e-05,2.1191295049970798e-05
113,2.1196846793716674e-05,2.1196846793716674e-05
114,2.120330450771167e-05,2.120330450771167e-05
115,2.1204472540245322e-05,2.1204472540245322e-05
116,2.122215887078134e-05,2.122215887078134e-05
117,2.1331525217955725e-05,2.1331525217955725e-05
118,2.1331525217955725e-05,2.1331525217955725e-05
119,2.1331525217955725e-05,2.1331525217955725e-05
120,2.139101481604445e-05,2.139101481604445e-05
121,2.1401757350428635e-05,2.1401757350428635e-05
122,2.141078741261362e-05,2.141078741261362e-05
123,2.160784770633147e-05,2.160784770633147e-05
124,2.1637288251634184e-05,2.1637288251634184e-05
125,2.1637288251634184e-05,2.1637288251634184e-05
126,2.175751047366806e-05,2.175751047366806e-05
127,2.176890159994577e-05,2.176890159994577e-05
128,2.177767478248582e-05,2.177767478248582e-05
129,2.178535131720837e-05,2.178535131720837e-05
130,2.178535131720837e-05,2.178535131720837e-05
131,2.178535131720837e-05,2.178535131720837e-05
132,2.179695865740469e-05,2.179695865740469e-05
133,2.1828941882135957e-05,2.1828941882135957e-05
134,2.18295092348585e-05,2.18295092348585e-05
135,2.1831389347655877e-05,2.1831389347655877e-05
136,2.1895900489063053e-05,2.1895900489063053e-05
137,2.1901281175908964e-05,2.1901281175908964e-05
138,2.2472029555720943e-05,2.2472029555720943e-05
139,2.2490040666003662e-05,2.2490040666003662e-05
140,2.263919720616006e-05,2.263919720616006e-05
141,2.264434053513097e-05,2.264434053513097e-05
142,2.2646402085079766e-05,2.2646402085079766e-05
143,2.264702951332505e-05,2.264702951332505e-05
144,2.261434373760468e-05,2.261434373760468e-05
145,2.2743935030881147e-05,2.2743935030881147e-05
146,2.2743502239586277e-05,2.2743502239586277e-05
147,2.274662286389572e-05,2.274662286389572e-05
148,2.274969121907937e-05,2.274969121907937e-05
149,2.2751225396671192e-05,2.2751225396671192e-05
150,2.2901329544739092e-05,2.2901329544739092e-05
151,2.2962936974218216e-05,2.2962936974218216e-05
152,2.304169691606247e-05,2.304169691606247e-05
153,2.30503046149093e-05,2.30503046149093e-05
154,2.30503046149093e-05,2.30503046149093e-05
155,2.3055905867108713e-05,2.3055905867108713e-05
156,2.3106317136903417e-05,2.3106317136903417e-05
157,2.3106317136903417e-05,2.3106317136903417e-05
158,2.3109704804832246e-05,2.3109704804832246e-05
159,2.311388636106562e-05,2.311388636106562e-05
160,2.3151550991568068e-05,2.3151550991568068e-05
161,2.3157191392462563e-05,2.3157191392462563e-05
162,2.3157781823115463e-05,2.3157781823115463e-05
163,2.3224444312350644e-05,2.3224444312350644e-05
164,2.3305326084383065e-05,2.3305326084383065e-05
165,2.3340784733195553e-05,2.3340784733195553e-05
166,2.3341173218956305e-05,2.3341173218956305e-05
167,2.3452275507688137e-05,2.3452275507688137e-05
168,2.3549060084138925e-05,2.3549060084138925e-05
169,2.3552397483326883e-05,2.3552397483326883e-05
170,2.3583127808015115e-05,2.3583127808015115e-05
171,2.3615948304223497e-05,2.3615948304223497e-05
172,2.362836573657765e-05,2.362836573657765e-05
173,2.368808695023477e-05,2.368808695023477e-05
174,2.3690107909719787e-05,2.3690107909719787e-05
175,2.3718401342510016e-05,2.3718401342510016e-05
176,2.3718401342510016e-05,2.3718401342510016e-05
177,2.3727440755187862e-05,2.3727440755187862e-05
178,2.377380394686078e-05,2.377380394686078e-05
179,2.3780389772835897e-05,2.3780389772835897e-05
180,2.393685744144446e-05,2.393685744144446e-05
181,2.393715750008482e-05,2.393715750008482e-05
182,2.3952379381276076e-05,2.3952379381276076e-05
183,2.3952379381276076e-05,2.3952379381276076e-05
184,2.3952379381276076e-05,2.3952379381276076e-05
185,2.4021483808538895e-05,2.4021483808538895e-05
186,2.406732374411809e-05,2.406732374411809e-05
187,2.407368087901354e-05,2.407368087901354e-05
188,2.407368087901354e-05,2.407368087901354e-05
189,2.413900535999755e-05,2.413900535999755e-05
190,2.440751846637586e-05,2.440751846637586e-05
191,2.4392321388619656e-05,2.4392321388619656e-05
192,2.442678773751243e-05,2.442678773751243e-05
193,2.442678773751243e-05,2.442678773751243e-05
194,2.442678773751243e-05,2.442678773751243e-05
195,2.442678773751243e-05,2.442678773751243e-05
196,2.442678773751243e-05,2.442678773751243e-05
197,2.4504349765579917e-05,2.4504349765579917e-05
198,2.4504349765579917e-05,2.4504349765579917e-05
199,2.464281561971716e-05,2.464281561971716e-05
200,2.4647739279795146e-05,2.4647739279795146e-05
201,2.468799370707773e-05,2.468799370707773e-05
202,2.4712230745811496e-05,2.4712230745811496e-05
203,2.4693334883384883e-05,2.4693334883384883e-05
204,2.4718189271990624e-05,2.4718189271990624e-05
205,2.4718671396839495e-05,2.4718671396839495e-05
206,2.4752746445646785e-05,2.4752746445646785e-05
207,2.4791821425289032e-05,2.4791821425289032e-05
208,2.4796939953709544e-05,2.4796939953709544e-05
209,2.4837806931293692e-05,2.4837806931293692e-05
210,2.4858199795195787e-05,2.4858199795195787e-05
211,2.4859535265815836e-05,2.4859535265815836e-05
212,2.4867548089536136e-05,2.4867548089536136e-05
213,2.4963317929671384e-05,2.4963317929671384e-05
214,2.5034988965318954e-05,2.5034988965318954e-05
215,2.505174504537595e-05,2.505174504537595e-05
216,2.505174504537595e-05,2.505174504537595e-05
217,2.505174504537595e-05,2.505174504537595e-05
218,2.5059695204559913e-05,2.5059695204559913e-05
219,2.5384571692551337e-05,2.5384571692551337e-05
220,2.5386232547715053e-05,2.5386232547715053e-05
221,2.5373321159660944e-05,2.5373321159660944e-05
222,2.540380874416168e-05,2.540380874416168e-05
223,2.540380874416168e-05,2.540380874416168e-05
224,2.540380874416168e-05,2.540380874416168e-05
225,2.540380874416168e-05,2.540380874416168e-05
226,2.5427983183283823e-05,2.5427983183283823e-05
227,2.542881678463286e-05,2.542881678463286e-05
228,2.542881678463286e-05,2.542881678463286e-05
229,2.5450962738502836e-05,2.5450962738502836e-05
230,2.5461737577212443e-05,2.5461737577212443e-05
231,2.546484627705942e-05,2.546484627705942e-05
232,2.550713186710174e-05,2.550713186710174e-05
233,2.5595002575631546e-05,2.5595002575631546e-05
234,2.559774945826967e-05,2.559774945826967e-05
235,2.5685518674298934e-05,2.5685518674298934e-05
236,2.5701048278654732e-05,2.5701048278654732e-05
237,2.5809520518289647e-05,2.5809520518289647e-05
238,2.590183234892787e-05,2.590183234892787e-05
239,2.590183234892787e-05,2.590183234892787e-05
240,2.5897416905216444e-05,2.5897416905216444e-05
241,2.590183234892787e-05,2.590183234892787e-05
242,2.593312362746494e-05,2.593312362746494e-05
243,2.593312362746494e-05,2.593312362746494e-05
244,2.593312362746494e-05,2.593312362746494e-05
245,2.5933161310823403e-05,2.5933161310823403e-05
246,2.5933349727615703e-05,2.5933349727615703e-05
247,2.5933349727615703e-05,2.5933349727615703e-05
248,2.597148830907134e-05,2.597148830907134e-05
249,2.603736404067653e-05,2.603736404067653e-05
250,2.603736404067653e-05,2.603736404067653e-05
251,2.6052429914171988e-05,2.6052429914171988e-05
252,2.6113686776957544e-05,2.6113686776957544e-05
253,2.6118236999269456e-05,2.6118236999269456e-05
254,2.6202549622518763e-05,2.6202549622518763e-05
255,2.6232248238898206e-05,2.6232248238898206e-05
256,2.624927882476229e-05,2.624927882476229e-05
257,2.6282038324981708e-05,2.6282038324981708e-05
258,2.632561266510716e-05,2.632561266510716e-05
259,2.631528101666555e-05,2.631528101666555e-05
260,2.632561266510716e-05,2.632561266510716e-05
261,2.632561266510716e-05,2.632561266510716e-05
262,2.6357989287584427e-05,2.6357989287584427e-05
263,2.6357989287584427e-05,2.6357989287584427e-05
264,2.644432271834862e-05,2.644432271834862e-05
265,2.6474514462059214e-05,2.6474514462059214e-05
266,2.6474514462059214e-05,2.6474514462059214e-05
267,2.6474701224881635e-05,2.6474701224881635e-05
268,2.6480117346731867e-05,2.6480117346731867e-05
269,2.6480117346731867e-05,2.6480117346731867e-05
270,2.6529613664220465e-05,2.6529613664220465e-05
271,2.6623588208684724e-05,2.6623588208684724e-05
272,2.6623588208684724e-05,2.6623588208684724e-05
273,2.6623588208684724e-05,2.6623588208684724e-05
274,2.6623588208684724e-05,2.6623588208684724e-05
275,2.668647562417599e-05,2.668647562417599e-05
276,2.6710858629862902e-05,2.6710858629862902e-05
277,2.6741769738692535e-05,2.6741769738692535e-05
278,2.67904311538219e-05,2.67904311538219e-05
279,2.6808126213868944e-05,2.6808126213868944e-05
280,2.6808126213868944e-05,2.6808126213868944e-05
281,2.6808126213868944e-05,2.6808126213868944e-05
282,2.6808126213868944e-05,2.6808126213868944e-05
283,2.681734846886141e-05,2.681734846886141e-05
284,2.6842709670090693e-05,2.6842709670090693e-05
285,2.6842709670090693e-05,2.6842709670090693e-05
286,2.6842709670090693e-05,2.6842709670090693e-05
287,2.6842709670090693e-05,2.6842709670090693e-05
288,2.6814197302475916e-05,2.6814197302475916e-05
289,2.6846101552050576e-05,2.6846101552050576e-05
290,2.6876628489689557e-05,2.6876628489689557e-05
291,2.6876628489689557e-05,2.6876628489689557e-05
292,2.6876628489689557e-05,2.6876628489689557e-05
293,2.6876628489689557e-05,2.6876628489689557e-05
294,2.6876628489689557e-05,2.6876628489689557e-05
295,2.6853250827916507e-05,2.6853250827916507e-05
296,2.696686810083166e-05,2.696686810083166e-05
297,2.699392014088006e-05,2.699392014088006e-05
298,2.699392014088006e-05,2.699392014088006e-05
299,2.699392014088006e-05,2.699392014088006e-05
300,2.699392014088006e-05,2.699392014088006e-05
301,2.7165945701129906e-05,2.7165945701129906e-05
302,2.7165945701129906e-05,2.7165945701129906e-05
303,2.7156915028900885e-05,2.7156915028900885e-05
304,2.7165945701129906e-05,2.7165945701129906e-05
305,2.7165945701129906e-05,2.7165945701129906e-05
306,2.7165945701129906e-05,2.7165945701129906e-05
307,2.7171496979036657e-05,2.7171496979036657e-05
308,2.7178756342453182e-05,2.7178756342453182e-05
309,2.7178756342453182e-05,2.7178756342453182e-05
310,2.7178756342453182e-05,2.7178756342453182e-05
311,2.718606629354203e-05,2.718606629354203e-05
312,2.7222616048986277e-05,2.7222616048986277e-05
313,2.7222616048986277e-05,2.7222616048986277e-05
314,2.7253408565222725e-05,2.7253408565222725e-05
315,2.7253408565222725e-05,2.7253408565222725e-05
316,2.7253408565222725e-05,2.7253408565222725e-05
317,2.7253408565222725e-05,2.7253408565222725e-05
318,2.7253408565222725e-05,2.7253408565222725e-05
319,2.7253408565222725e-05,2.7253408565222725e-05
320,2.7253408565222725e-05,2.7253408565222725e-05
321,2.7253408565222725e-05,2.7253408565222725e-05
322,2.7253408565222725e-05,2.7253408565222725e-05
323,2.7253408565222725e-05,2.7253408565222725e-05
324,2.7253831697120148e-05,2.7253831697120148e-05
325,2.7363889693098964e-05,2.7363889693098964e-05
326,2.7518106133737347e-05,2.7518106133737347e-05
327,2.7518106133737347e-05,2.7518106133737347e-05
328,2.7518106133737347e-05,2.7518106133737347e-05
329,2.7518106133737347e-05,2.7518106133737347e-05
330,2.7518106133737347e-05,2.7518106133737347e-05
331,2.7518106133737347e-05,2.7518106133737347e-05
332,2.753447303113062e-05,2.753447303113062e-05
333,2.7536991015344974e-05,2.7536991015344974e-05
334,2.7468614815969096e-05,2.7468614815969096e-05
335,2.755457191099804e-05,2.755457191099804e-05
336,2.7590822112668173e-05,2.7590822112668173e-05
337,2.7590822112668173e-05,2.7590822112668173e-05
338,2.7590822112668173e-05,2.7590822112668173e-05
339,2.7590865077754946e-05,2.7590865077754946e-05
340,2.7590897933409534e-05,2.7590897933409534e-05
341,2.7590897933409534e-05,2.7590897933409534e-05
342,2.7619634955681933e-05,2.7619634955681933e-05
343,2.7628381005938747e-05,2.7628381005938747e-05
344,2.7632926150228055e-05,2.7632926150228055e-05
345,2.7662469588108538e-05,2.7662469588108538e-05
346,2.7662469588108538e-05,2.7662469588108538e-05
347,2.7662469588108538e-05,2.7662469588108538e-05
348,2.7729746747284412e-05,2.7729746747284412e-05
349,2.7732424795760652e-05,2.7732424795760652e-05
350,2.7703216894855045e-05,2.7703216894855045e-05
351,2.773197654302142e-05,2.773197654302142e-05
352,2.7732315024992805e-05,2.7732315024992805e-05
353,2.7734515157806742e-05,2.7734515157806742e-05
354,2.773842207472451e-05,2.773842207472451e-05
355,2.777460303449337e-05,2.777460303449337e-05
356,2.777460303449337e-05,2.777460303449337e-05
357,2.7872282454805872e-05,2.7872282454805872e-05
358,2.804130230587049e-05,2.804130230587049e-05
359,2.803512756954757e-05,2.803512756954757e-05
360,2.804130230587049e-05,2.804130230587049e-05
361,2.8047466839761755e-05,2.8047466839761755e-05
362,2.8133770314239465e-05,2.8133770314239465e-05
363,2.8133770314239465e-05,2.8133770314239465e-05
364,2.8133770314239465e-05,2.8133770314239465e-05
365,2.8133770314239465e-05,2.8133770314239465e-05
366,2.8176447075191127e-05,2.8176447075191127e-05
367,2.81894356546112e-05,2.81894356546112e-05
368,2.81894356546112e-05,2.81894356546112e-05
369,2.8197039989595902e-05,2.8197039989595902e-05
370,2.8197039989595902e-05,2.8197039989595902e-05
371,2.8197039989595902e-05,2.8197039989595902e-05
372,2.8203118767834615e-05,2.8203118767834615e-05
373,2.8233512659028167e-05,2.8233512659028167e-05
374,2.8233512659028167e-05,2.8233512659028167e-05
375,2.8233512659028167e-05,2.8233512659028167e-05
376,2.8194749024705603e-05,2.8194749024705603e-05
377,2.8235284327297197e-05,2.8235284327297197e-05
378,2.8286662707099022e-05,2.8286662707099022e-05
379,2.8286662707099022e-05,2.8286662707099022e-05
380,2.8296799732783274e-05,2.8296799732783274e-05
381,2.831430914078335e-05,2.831430914078335e-05
382,2.831430914078335e-05,2.831430914078335e-05
383,2.8314905799892636e-05,2.8314905799892636e-05
384,2.831939893086786e-05,2.831939893086786e-05
385,2.8323852497191806e-05,2.8323852497191806e-05
386,2.8355729072931203e-05,2.8355729072931203e-05
